,region,type of household,contents,year,value
77,Rømskog (-2019),Living alone,Households,2019,130
78,Rømskog (-2019),Couple without resident children,Households,2019,91
79,Rømskog (-2019),Couple with small children (youngest child 0-5 years),Households,2019,20
80,Rømskog (-2019),Couple with older children (youngest child 6-17 years),Households,2019,37
81,Rømskog (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,1
82,Rømskog (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,4
83,Rømskog (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,27
84,Rømskog (-2019),Two or more-family households without resident children 0-17 years,Households,2019,4
85,Rømskog (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,2
86,Rømskog (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,2
87,Rømskog (-2019),Other housesholds,Households,2019,0
88,Trøgstad (-2019),Living alone,Households,2019,895
89,Trøgstad (-2019),Couple without resident children,Households,2019,681
90,Trøgstad (-2019),Couple with small children (youngest child 0-5 years),Households,2019,195
91,Trøgstad (-2019),Couple with older children (youngest child 6-17 years),Households,2019,272
92,Trøgstad (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,25
93,Trøgstad (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,94
94,Trøgstad (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,170
95,Trøgstad (-2019),Two or more-family households without resident children 0-17 years,Households,2019,79
96,Trøgstad (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,13
97,Trøgstad (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,21
98,Trøgstad (-2019),Other housesholds,Households,2019,0
99,Spydeberg (-2019),Living alone,Households,2019,858
100,Spydeberg (-2019),Couple without resident children,Households,2019,722
101,Spydeberg (-2019),Couple with small children (youngest child 0-5 years),Households,2019,270
102,Spydeberg (-2019),Couple with older children (youngest child 6-17 years),Households,2019,310
103,Spydeberg (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,35
104,Spydeberg (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,107
105,Spydeberg (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,199
106,Spydeberg (-2019),Two or more-family households without resident children 0-17 years,Households,2019,92
107,Spydeberg (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,19
108,Spydeberg (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,15
109,Spydeberg (-2019),Other housesholds,Households,2019,0
110,Askim (-2019),Living alone,Households,2019,2703
111,Askim (-2019),Couple without resident children,Households,2019,1728
112,Askim (-2019),Couple with small children (youngest child 0-5 years),Households,2019,583
113,Askim (-2019),Couple with older children (youngest child 6-17 years),Households,2019,788
114,Askim (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,93
115,Askim (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,302
116,Askim (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,623
117,Askim (-2019),Two or more-family households without resident children 0-17 years,Households,2019,232
118,Askim (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,50
119,Askim (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,47
120,Askim (-2019),Other housesholds,Households,2019,0
121,Eidsberg (-2019),Living alone,Households,2019,2034
122,Eidsberg (-2019),Couple without resident children,Households,2019,1317
123,Eidsberg (-2019),Couple with small children (youngest child 0-5 years),Households,2019,425
124,Eidsberg (-2019),Couple with older children (youngest child 6-17 years),Households,2019,544
125,Eidsberg (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,58
126,Eidsberg (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,229
127,Eidsberg (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,412
128,Eidsberg (-2019),Two or more-family households without resident children 0-17 years,Households,2019,151
129,Eidsberg (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,37
130,Eidsberg (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,33
131,Eidsberg (-2019),Other housesholds,Households,2019,0
132,Skiptvet (-2019),Living alone,Households,2019,519
133,Skiptvet (-2019),Couple without resident children,Households,2019,414
134,Skiptvet (-2019),Couple with small children (youngest child 0-5 years),Households,2019,171
135,Skiptvet (-2019),Couple with older children (youngest child 6-17 years),Households,2019,204
136,Skiptvet (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,18
137,Skiptvet (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,65
138,Skiptvet (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,127
139,Skiptvet (-2019),Two or more-family households without resident children 0-17 years,Households,2019,56
140,Skiptvet (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,10
141,Skiptvet (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,16
142,Skiptvet (-2019),Other housesholds,Households,2019,0
143,Rakkestad (-2019),Living alone,Households,2019,1331
144,Rakkestad (-2019),Couple without resident children,Households,2019,1003
145,Rakkestad (-2019),Couple with small children (youngest child 0-5 years),Households,2019,315
146,Rakkestad (-2019),Couple with older children (youngest child 6-17 years),Households,2019,409
147,Rakkestad (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,43
148,Rakkestad (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,109
149,Rakkestad (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,234
150,Rakkestad (-2019),Two or more-family households without resident children 0-17 years,Households,2019,122
151,Rakkestad (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,29
152,Rakkestad (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,40
153,Rakkestad (-2019),Other housesholds,Households,2019,0
154,Råde (-2019),Living alone,Households,2019,960
155,Råde (-2019),Couple without resident children,Households,2019,959
156,Råde (-2019),Couple with small children (youngest child 0-5 years),Households,2019,300
157,Råde (-2019),Couple with older children (youngest child 6-17 years),Households,2019,378
158,Råde (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,39
159,Råde (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,110
160,Råde (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,283
161,Råde (-2019),Two or more-family households without resident children 0-17 years,Households,2019,115
162,Råde (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,25
163,Råde (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,26
164,Råde (-2019),Other housesholds,Households,2019,0
165,Rygge (-2019),Living alone,Households,2019,2325
166,Rygge (-2019),Couple without resident children,Households,2019,1941
167,Rygge (-2019),Couple with small children (youngest child 0-5 years),Households,2019,612
168,Rygge (-2019),Couple with older children (youngest child 6-17 years),Households,2019,820
169,Rygge (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,71
170,Rygge (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,303
171,Rygge (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,661
172,Rygge (-2019),Two or more-family households without resident children 0-17 years,Households,2019,201
173,Rygge (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,52
174,Rygge (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,58
175,Rygge (-2019),Other housesholds,Households,2019,0
176,Våler (Østfold) (-2019),Living alone,Households,2019,647
177,Våler (Østfold) (-2019),Couple without resident children,Households,2019,653
178,Våler (Østfold) (-2019),Couple with small children (youngest child 0-5 years),Households,2019,323
179,Våler (Østfold) (-2019),Couple with older children (youngest child 6-17 years),Households,2019,296
180,Våler (Østfold) (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,24
181,Våler (Østfold) (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,88
182,Våler (Østfold) (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,151
183,Våler (Østfold) (-2019),Two or more-family households without resident children 0-17 years,Households,2019,87
184,Våler (Østfold) (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,18
185,Våler (Østfold) (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,20
186,Våler (Østfold) (-2019),Other housesholds,Households,2019,0
187,Hobøl (-2019),Living alone,Households,2019,792
188,Hobøl (-2019),Couple without resident children,Households,2019,639
189,Hobøl (-2019),Couple with small children (youngest child 0-5 years),Households,2019,270
190,Hobøl (-2019),Couple with older children (youngest child 6-17 years),Households,2019,280
191,Hobøl (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,31
192,Hobøl (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,86
193,Hobøl (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,220
194,Hobøl (-2019),Two or more-family households without resident children 0-17 years,Households,2019,96
195,Hobøl (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,15
196,Hobøl (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,21
197,Hobøl (-2019),Other housesholds,Households,2019,0
198,Vestby (-2019),Living alone,Households,2019,2233
199,Vestby (-2019),Couple without resident children,Households,2019,1865
200,Vestby (-2019),Couple with small children (youngest child 0-5 years),Households,2019,919
201,Vestby (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1013
202,Vestby (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,76
203,Vestby (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,343
204,Vestby (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,629
205,Vestby (-2019),Two or more-family households without resident children 0-17 years,Households,2019,229
206,Vestby (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,46
207,Vestby (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,43
208,Vestby (-2019),Other housesholds,Households,2019,0
209,Ski (-2019),Living alone,Households,2019,3935
210,Ski (-2019),Couple without resident children,Households,2019,2971
211,Ski (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1358
212,Ski (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1920
213,Ski (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,152
214,Ski (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,576
215,Ski (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1191
216,Ski (-2019),Two or more-family households without resident children 0-17 years,Households,2019,375
217,Ski (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,84
218,Ski (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,78
219,Ski (-2019),Other housesholds,Households,2019,0
220,Ås (-2019),Living alone,Households,2019,3752
221,Ås (-2019),Couple without resident children,Households,2019,2294
222,Ås (-2019),Couple with small children (youngest child 0-5 years),Households,2019,914
223,Ås (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1020
224,Ås (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,57
225,Ås (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,221
226,Ås (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,666
227,Ås (-2019),Two or more-family households without resident children 0-17 years,Households,2019,537
228,Ås (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,61
229,Ås (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,107
230,Ås (-2019),Other housesholds,Households,2019,0
231,Frogn (-2019),Living alone,Households,2019,2452
232,Frogn (-2019),Couple without resident children,Households,2019,1865
233,Frogn (-2019),Couple with small children (youngest child 0-5 years),Households,2019,537
234,Frogn (-2019),Couple with older children (youngest child 6-17 years),Households,2019,863
235,Frogn (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,50
236,Frogn (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,325
237,Frogn (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,625
238,Frogn (-2019),Two or more-family households without resident children 0-17 years,Households,2019,205
239,Frogn (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,38
240,Frogn (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,41
241,Frogn (-2019),Other housesholds,Households,2019,0
242,Nesodden (-2019),Living alone,Households,2019,2611
243,Nesodden (-2019),Couple without resident children,Households,2019,1794
244,Nesodden (-2019),Couple with small children (youngest child 0-5 years),Households,2019,925
245,Nesodden (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1131
246,Nesodden (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,98
247,Nesodden (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,360
248,Nesodden (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,782
249,Nesodden (-2019),Two or more-family households without resident children 0-17 years,Households,2019,264
250,Nesodden (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,60
251,Nesodden (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,75
252,Nesodden (-2019),Other housesholds,Households,2019,0
253,Oppegård (-2019),Living alone,Households,2019,3468
254,Oppegård (-2019),Couple without resident children,Households,2019,2864
255,Oppegård (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1237
256,Oppegård (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1758
257,Oppegård (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,111
258,Oppegård (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,412
259,Oppegård (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,993
260,Oppegård (-2019),Two or more-family households without resident children 0-17 years,Households,2019,286
261,Oppegård (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,61
262,Oppegård (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,64
263,Oppegård (-2019),Other housesholds,Households,2019,0
264,Bærum (-2019),Living alone,Households,2019,18388
265,Bærum (-2019),Couple without resident children,Households,2019,12073
266,Bærum (-2019),Couple with small children (youngest child 0-5 years),Households,2019,6281
267,Bærum (-2019),Couple with older children (youngest child 6-17 years),Households,2019,7674
268,Bærum (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,480
269,Bærum (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,1929
270,Bærum (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,4368
271,Bærum (-2019),Two or more-family households without resident children 0-17 years,Households,2019,1602
272,Bærum (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,217
273,Bærum (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,233
274,Bærum (-2019),Other housesholds,Households,2019,0
275,Asker (-2019),Living alone,Households,2019,7901
276,Asker (-2019),Couple without resident children,Households,2019,5858
277,Asker (-2019),Couple with small children (youngest child 0-5 years),Households,2019,2835
278,Asker (-2019),Couple with older children (youngest child 6-17 years),Households,2019,3780
279,Asker (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,243
280,Asker (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,1023
281,Asker (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,2370
282,Asker (-2019),Two or more-family households without resident children 0-17 years,Households,2019,732
283,Asker (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,136
284,Asker (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,158
285,Asker (-2019),Other housesholds,Households,2019,0
286,Aurskog-Høland (-2019),Living alone,Households,2019,2542
287,Aurskog-Høland (-2019),Couple without resident children,Households,2019,1964
288,Aurskog-Høland (-2019),Couple with small children (youngest child 0-5 years),Households,2019,677
289,Aurskog-Høland (-2019),Couple with older children (youngest child 6-17 years),Households,2019,849
290,Aurskog-Høland (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,88
291,Aurskog-Høland (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,293
292,Aurskog-Høland (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,598
293,Aurskog-Høland (-2019),Two or more-family households without resident children 0-17 years,Households,2019,251
294,Aurskog-Høland (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,44
295,Aurskog-Høland (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,48
296,Aurskog-Høland (-2019),Other housesholds,Households,2019,0
297,Sørum (-2019),Living alone,Households,2019,2130
298,Sørum (-2019),Couple without resident children,Households,2019,1700
299,Sørum (-2019),Couple with small children (youngest child 0-5 years),Households,2019,952
300,Sørum (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1125
301,Sørum (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,81
302,Sørum (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,342
303,Sørum (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,639
304,Sørum (-2019),Two or more-family households without resident children 0-17 years,Households,2019,253
305,Sørum (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,54
306,Sørum (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,57
307,Sørum (-2019),Other housesholds,Households,2019,0
308,Fet (-2019),Living alone,Households,2019,1310
309,Fet (-2019),Couple without resident children,Households,2019,1282
310,Fet (-2019),Couple with small children (youngest child 0-5 years),Households,2019,558
311,Fet (-2019),Couple with older children (youngest child 6-17 years),Households,2019,681
312,Fet (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,44
313,Fet (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,170
314,Fet (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,478
315,Fet (-2019),Two or more-family households without resident children 0-17 years,Households,2019,186
316,Fet (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,44
317,Fet (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,36
318,Fet (-2019),Other housesholds,Households,2019,0
319,Rælingen (-2019),Living alone,Households,2019,2518
320,Rælingen (-2019),Couple without resident children,Households,2019,1681
321,Rælingen (-2019),Couple with small children (youngest child 0-5 years),Households,2019,962
322,Rælingen (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1026
323,Rælingen (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,86
324,Rælingen (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,344
325,Rælingen (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,667
326,Rælingen (-2019),Two or more-family households without resident children 0-17 years,Households,2019,267
327,Rælingen (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,57
328,Rælingen (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,51
329,Rælingen (-2019),Other housesholds,Households,2019,0
330,Enebakk (-2019),Living alone,Households,2019,1314
331,Enebakk (-2019),Couple without resident children,Households,2019,1084
332,Enebakk (-2019),Couple with small children (youngest child 0-5 years),Households,2019,491
333,Enebakk (-2019),Couple with older children (youngest child 6-17 years),Households,2019,643
334,Enebakk (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,56
335,Enebakk (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,220
336,Enebakk (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,426
337,Enebakk (-2019),Two or more-family households without resident children 0-17 years,Households,2019,169
338,Enebakk (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,51
339,Enebakk (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,52
340,Enebakk (-2019),Other housesholds,Households,2019,0
341,Lørenskog (-2019),Living alone,Households,2019,5995
342,Lørenskog (-2019),Couple without resident children,Households,2019,4059
343,Lørenskog (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1838
344,Lørenskog (-2019),Couple with older children (youngest child 6-17 years),Households,2019,2171
345,Lørenskog (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,212
346,Lørenskog (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,671
347,Lørenskog (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1432
348,Lørenskog (-2019),Two or more-family households without resident children 0-17 years,Households,2019,590
349,Lørenskog (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,151
350,Lørenskog (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,119
351,Lørenskog (-2019),Other housesholds,Households,2019,0
352,Skedsmo (-2019),Living alone,Households,2019,8923
353,Skedsmo (-2019),Couple without resident children,Households,2019,5617
354,Skedsmo (-2019),Couple with small children (youngest child 0-5 years),Households,2019,2395
355,Skedsmo (-2019),Couple with older children (youngest child 6-17 years),Households,2019,3036
356,Skedsmo (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,259
357,Skedsmo (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,980
358,Skedsmo (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,2012
359,Skedsmo (-2019),Two or more-family households without resident children 0-17 years,Households,2019,923
360,Skedsmo (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,209
361,Skedsmo (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,175
362,Skedsmo (-2019),Other housesholds,Households,2019,0
363,Nittedal (-2019),Living alone,Households,2019,2837
364,Nittedal (-2019),Couple without resident children,Households,2019,2195
365,Nittedal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1170
366,Nittedal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1520
367,Nittedal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,98
368,Nittedal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,440
369,Nittedal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,937
370,Nittedal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,311
371,Nittedal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,66
372,Nittedal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,81
373,Nittedal (-2019),Other housesholds,Households,2019,0
374,Gjerdrum (-2019),Living alone,Households,2019,796
375,Gjerdrum (-2019),Couple without resident children,Households,2019,693
376,Gjerdrum (-2019),Couple with small children (youngest child 0-5 years),Households,2019,321
377,Gjerdrum (-2019),Couple with older children (youngest child 6-17 years),Households,2019,417
378,Gjerdrum (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,21
379,Gjerdrum (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,116
380,Gjerdrum (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,277
381,Gjerdrum (-2019),Two or more-family households without resident children 0-17 years,Households,2019,91
382,Gjerdrum (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,18
383,Gjerdrum (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,23
