,region,ownership,contents,year,value
212,Engerdal,Private,Kindergartens,2019,1
213,Tolga,Municipal,Kindergartens,2019,3
214,Tolga,County authorities/Government,Kindergartens,2019,0
215,Tolga,Private,Kindergartens,2019,0
216,Tynset,Municipal,Kindergartens,2019,5
217,Tynset,County authorities/Government,Kindergartens,2019,0
218,Tynset,Private,Kindergartens,2019,4
219,Alvdal,Municipal,Kindergartens,2019,2
220,Alvdal,County authorities/Government,Kindergartens,2019,0
221,Alvdal,Private,Kindergartens,2019,1
222,Folldal,Municipal,Kindergartens,2019,1
223,Folldal,County authorities/Government,Kindergartens,2019,0
224,Folldal,Private,Kindergartens,2019,0
225,Os,Municipal,Kindergartens,2019,2
226,Os,County authorities/Government,Kindergartens,2019,0
227,Os,Private,Kindergartens,2019,0
228,Dovre,Municipal,Kindergartens,2019,2
229,Dovre,County authorities/Government,Kindergartens,2019,0
230,Dovre,Private,Kindergartens,2019,0
231,Lesja,Municipal,Kindergartens,2019,2
232,Lesja,County authorities/Government,Kindergartens,2019,0
233,Lesja,Private,Kindergartens,2019,0
234,Skjåk,Municipal,Kindergartens,2019,3
235,Skjåk,County authorities/Government,Kindergartens,2019,0
236,Skjåk,Private,Kindergartens,2019,1
237,Lom,Municipal,Kindergartens,2019,2
238,Lom,County authorities/Government,Kindergartens,2019,0
239,Lom,Private,Kindergartens,2019,0
240,Vågå,Municipal,Kindergartens,2019,2
241,Vågå,County authorities/Government,Kindergartens,2019,0
242,Vågå,Private,Kindergartens,2019,2
243,Nord-Fron,Municipal,Kindergartens,2019,4
244,Nord-Fron,County authorities/Government,Kindergartens,2019,0
245,Nord-Fron,Private,Kindergartens,2019,3
246,Sel,Municipal,Kindergartens,2019,6
247,Sel,County authorities/Government,Kindergartens,2019,0
248,Sel,Private,Kindergartens,2019,2
249,Sør-Fron,Municipal,Kindergartens,2019,2
250,Sør-Fron,County authorities/Government,Kindergartens,2019,0
251,Sør-Fron,Private,Kindergartens,2019,1
252,Ringebu,Municipal,Kindergartens,2019,2
253,Ringebu,County authorities/Government,Kindergartens,2019,0
254,Ringebu,Private,Kindergartens,2019,12
255,Øyer,Municipal,Kindergartens,2019,2
256,Øyer,County authorities/Government,Kindergartens,2019,0
257,Øyer,Private,Kindergartens,2019,3
258,Gausdal,Municipal,Kindergartens,2019,3
259,Gausdal,County authorities/Government,Kindergartens,2019,0
260,Gausdal,Private,Kindergartens,2019,4
261,Østre Toten,Municipal,Kindergartens,2019,6
262,Østre Toten,County authorities/Government,Kindergartens,2019,0
263,Østre Toten,Private,Kindergartens,2019,6
264,Vestre Toten,Municipal,Kindergartens,2019,4
265,Vestre Toten,County authorities/Government,Kindergartens,2019,0
266,Vestre Toten,Private,Kindergartens,2019,8
267,Gran,Municipal,Kindergartens,2019,7
268,Gran,County authorities/Government,Kindergartens,2019,0
269,Gran,Private,Kindergartens,2019,8
270,Søndre Land,Municipal,Kindergartens,2019,6
271,Søndre Land,County authorities/Government,Kindergartens,2019,0
272,Søndre Land,Private,Kindergartens,2019,2
273,Nordre Land,Municipal,Kindergartens,2019,6
274,Nordre Land,County authorities/Government,Kindergartens,2019,0
275,Nordre Land,Private,Kindergartens,2019,0
276,Sør-Aurdal,Municipal,Kindergartens,2019,3
277,Sør-Aurdal,County authorities/Government,Kindergartens,2019,0
278,Sør-Aurdal,Private,Kindergartens,2019,0
279,Etnedal,Municipal,Kindergartens,2019,1
280,Etnedal,County authorities/Government,Kindergartens,2019,0
281,Etnedal,Private,Kindergartens,2019,0
282,Nord-Aurdal,Municipal,Kindergartens,2019,5
283,Nord-Aurdal,County authorities/Government,Kindergartens,2019,0
284,Nord-Aurdal,Private,Kindergartens,2019,1
285,Vestre Slidre,Municipal,Kindergartens,2019,2
286,Vestre Slidre,County authorities/Government,Kindergartens,2019,0
287,Vestre Slidre,Private,Kindergartens,2019,0
288,Øystre Slidre,Municipal,Kindergartens,2019,3
289,Øystre Slidre,County authorities/Government,Kindergartens,2019,0
290,Øystre Slidre,Private,Kindergartens,2019,1
291,Vang,Municipal,Kindergartens,2019,2
292,Vang,County authorities/Government,Kindergartens,2019,0
293,Vang,Private,Kindergartens,2019,0
294,Horten,Municipal,Kindergartens,2019,10
295,Horten,County authorities/Government,Kindergartens,2019,0
296,Horten,Private,Kindergartens,2019,12
297,Holmestrand,Municipal,Kindergartens,2019,8
298,Holmestrand,County authorities/Government,Kindergartens,2019,0
299,Holmestrand,Private,Kindergartens,2019,14
300,Tønsberg,Municipal,Kindergartens,2019,28
301,Tønsberg,County authorities/Government,Kindergartens,2019,0
302,Tønsberg,Private,Kindergartens,2019,25
303,Sandefjord,Municipal,Kindergartens,2019,24
304,Sandefjord,County authorities/Government,Kindergartens,2019,0
305,Sandefjord,Private,Kindergartens,2019,37
306,Larvik,Municipal,Kindergartens,2019,25
307,Larvik,County authorities/Government,Kindergartens,2019,0
308,Larvik,Private,Kindergartens,2019,21
309,Porsgrunn,Municipal,Kindergartens,2019,12
310,Porsgrunn,County authorities/Government,Kindergartens,2019,0
311,Porsgrunn,Private,Kindergartens,2019,20
312,Skien,Municipal,Kindergartens,2019,21
313,Skien,County authorities/Government,Kindergartens,2019,1
314,Skien,Private,Kindergartens,2019,29
315,Notodden,Municipal,Kindergartens,2019,6
316,Notodden,County authorities/Government,Kindergartens,2019,0
317,Notodden,Private,Kindergartens,2019,10
318,Færder,Municipal,Kindergartens,2019,9
319,Færder,County authorities/Government,Kindergartens,2019,0
320,Færder,Private,Kindergartens,2019,11
321,Siljan,Municipal,Kindergartens,2019,2
322,Siljan,County authorities/Government,Kindergartens,2019,0
323,Siljan,Private,Kindergartens,2019,0
324,Bamble,Municipal,Kindergartens,2019,7
325,Bamble,County authorities/Government,Kindergartens,2019,0
326,Bamble,Private,Kindergartens,2019,6
327,Kragerø,Municipal,Kindergartens,2019,8
328,Kragerø,County authorities/Government,Kindergartens,2019,0
329,Kragerø,Private,Kindergartens,2019,2
330,Drangedal,Municipal,Kindergartens,2019,3
331,Drangedal,County authorities/Government,Kindergartens,2019,0
332,Drangedal,Private,Kindergartens,2019,0
333,Nome,Municipal,Kindergartens,2019,6
334,Nome,County authorities/Government,Kindergartens,2019,0
335,Nome,Private,Kindergartens,2019,0
336,Midt-Telemark,Municipal,Kindergartens,2019,3
337,Midt-Telemark,County authorities/Government,Kindergartens,2019,0
338,Midt-Telemark,Private,Kindergartens,2019,6
339,Tinn,Municipal,Kindergartens,2019,5
340,Tinn,County authorities/Government,Kindergartens,2019,0
341,Tinn,Private,Kindergartens,2019,1
342,Hjartdal,Municipal,Kindergartens,2019,3
343,Hjartdal,County authorities/Government,Kindergartens,2019,0
344,Hjartdal,Private,Kindergartens,2019,0
345,Seljord,Municipal,Kindergartens,2019,4
346,Seljord,County authorities/Government,Kindergartens,2019,0
347,Seljord,Private,Kindergartens,2019,0
348,Kviteseid,Municipal,Kindergartens,2019,3
349,Kviteseid,County authorities/Government,Kindergartens,2019,0
350,Kviteseid,Private,Kindergartens,2019,0
351,Nissedal,Municipal,Kindergartens,2019,5
352,Nissedal,County authorities/Government,Kindergartens,2019,0
353,Nissedal,Private,Kindergartens,2019,0
354,Fyresdal,Municipal,Kindergartens,2019,1
355,Fyresdal,County authorities/Government,Kindergartens,2019,0
356,Fyresdal,Private,Kindergartens,2019,0
357,Tokke,Municipal,Kindergartens,2019,4
358,Tokke,County authorities/Government,Kindergartens,2019,0
359,Tokke,Private,Kindergartens,2019,0
360,Vinje,Municipal,Kindergartens,2019,4
361,Vinje,County authorities/Government,Kindergartens,2019,0
362,Vinje,Private,Kindergartens,2019,0
363,Risør,Municipal,Kindergartens,2019,3
364,Risør,County authorities/Government,Kindergartens,2019,0
365,Risør,Private,Kindergartens,2019,5
366,Grimstad,Municipal,Kindergartens,2019,5
367,Grimstad,County authorities/Government,Kindergartens,2019,0
368,Grimstad,Private,Kindergartens,2019,23
369,Arendal,Municipal,Kindergartens,2019,12
370,Arendal,County authorities/Government,Kindergartens,2019,0
371,Arendal,Private,Kindergartens,2019,46
372,Kristiansand,Municipal,Kindergartens,2019,38
373,Kristiansand,County authorities/Government,Kindergartens,2019,0
374,Kristiansand,Private,Kindergartens,2019,81
375,Lindesnes,Municipal,Kindergartens,2019,9
376,Lindesnes,County authorities/Government,Kindergartens,2019,0
377,Lindesnes,Private,Kindergartens,2019,20
378,Farsund,Municipal,Kindergartens,2019,2
379,Farsund,County authorities/Government,Kindergartens,2019,0
380,Farsund,Private,Kindergartens,2019,7
381,Flekkefjord,Municipal,Kindergartens,2019,6
382,Flekkefjord,County authorities/Government,Kindergartens,2019,0
383,Flekkefjord,Private,Kindergartens,2019,4
384,Gjerstad,Municipal,Kindergartens,2019,2
385,Gjerstad,County authorities/Government,Kindergartens,2019,0
386,Gjerstad,Private,Kindergartens,2019,0
387,Vegårshei,Municipal,Kindergartens,2019,2
388,Vegårshei,County authorities/Government,Kindergartens,2019,0
389,Vegårshei,Private,Kindergartens,2019,2
390,Tvedestrand,Municipal,Kindergartens,2019,5
391,Tvedestrand,County authorities/Government,Kindergartens,2019,0
392,Tvedestrand,Private,Kindergartens,2019,6
393,Froland,Municipal,Kindergartens,2019,5
394,Froland,County authorities/Government,Kindergartens,2019,0
395,Froland,Private,Kindergartens,2019,2
396,Lillesand,Municipal,Kindergartens,2019,4
397,Lillesand,County authorities/Government,Kindergartens,2019,0
398,Lillesand,Private,Kindergartens,2019,10
399,Birkenes,Municipal,Kindergartens,2019,3
400,Birkenes,County authorities/Government,Kindergartens,2019,0
401,Birkenes,Private,Kindergartens,2019,4
402,Åmli,Municipal,Kindergartens,2019,3
403,Åmli,County authorities/Government,Kindergartens,2019,0
404,Åmli,Private,Kindergartens,2019,1
405,Iveland,Municipal,Kindergartens,2019,2
406,Iveland,County authorities/Government,Kindergartens,2019,0
407,Iveland,Private,Kindergartens,2019,0
408,Evje og Hornnes,Municipal,Kindergartens,2019,2
409,Evje og Hornnes,County authorities/Government,Kindergartens,2019,0
410,Evje og Hornnes,Private,Kindergartens,2019,1
411,Bygland,Municipal,Kindergartens,2019,2
412,Bygland,County authorities/Government,Kindergartens,2019,0
413,Bygland,Private,Kindergartens,2019,0
414,Valle,Municipal,Kindergartens,2019,2
415,Valle,County authorities/Government,Kindergartens,2019,0
416,Valle,Private,Kindergartens,2019,0
417,Bykle,Municipal,Kindergartens,2019,2
418,Bykle,County authorities/Government,Kindergartens,2019,0
419,Bykle,Private,Kindergartens,2019,0
420,Vennesla,Municipal,Kindergartens,2019,5
421,Vennesla,County authorities/Government,Kindergartens,2019,0
422,Vennesla,Private,Kindergartens,2019,11
423,Åseral,Municipal,Kindergartens,2019,1
424,Åseral,County authorities/Government,Kindergartens,2019,0
425,Åseral,Private,Kindergartens,2019,0
426,Lyngdal,Municipal,Kindergartens,2019,4
427,Lyngdal,County authorities/Government,Kindergartens,2019,0
428,Lyngdal,Private,Kindergartens,2019,8
429,Hægebostad,Municipal,Kindergartens,2019,2
430,Hægebostad,County authorities/Government,Kindergartens,2019,0
431,Hægebostad,Private,Kindergartens,2019,0
432,Kvinesdal,Municipal,Kindergartens,2019,8
433,Kvinesdal,County authorities/Government,Kindergartens,2019,0
434,Kvinesdal,Private,Kindergartens,2019,0
435,Sirdal,Municipal,Kindergartens,2019,2
436,Sirdal,County authorities/Government,Kindergartens,2019,0
437,Sirdal,Private,Kindergartens,2019,0
438,Eigersund,Municipal,Kindergartens,2019,6
439,Eigersund,County authorities/Government,Kindergartens,2019,0
440,Eigersund,Private,Kindergartens,2019,10
441,Stavanger,Municipal,Kindergartens,2019,81
442,Stavanger,County authorities/Government,Kindergartens,2019,0
443,Stavanger,Private,Kindergartens,2019,53
444,Haugesund,Municipal,Kindergartens,2019,5
445,Haugesund,County authorities/Government,Kindergartens,2019,0
446,Haugesund,Private,Kindergartens,2019,33
447,Sandnes,Municipal,Kindergartens,2019,27
448,Sandnes,County authorities/Government,Kindergartens,2019,0
449,Sandnes,Private,Kindergartens,2019,41
450,Sokndal,Municipal,Kindergartens,2019,0
451,Sokndal,County authorities/Government,Kindergartens,2019,0
452,Sokndal,Private,Kindergartens,2019,3
453,Lund,Municipal,Kindergartens,2019,2
454,Lund,County authorities/Government,Kindergartens,2019,0
455,Lund,Private,Kindergartens,2019,1
456,Bjerkreim,Municipal,Kindergartens,2019,2
457,Bjerkreim,County authorities/Government,Kindergartens,2019,0
458,Bjerkreim,Private,Kindergartens,2019,1
459,Hå,Municipal,Kindergartens,2019,14
460,Hå,County authorities/Government,Kindergartens,2019,0
461,Hå,Private,Kindergartens,2019,4
462,Klepp,Municipal,Kindergartens,2019,14
463,Klepp,County authorities/Government,Kindergartens,2019,0
464,Klepp,Private,Kindergartens,2019,6
465,Time,Municipal,Kindergartens,2019,10
466,Time,County authorities/Government,Kindergartens,2019,0
467,Time,Private,Kindergartens,2019,10
468,Gjesdal,Municipal,Kindergartens,2019,8
469,Gjesdal,County authorities/Government,Kindergartens,2019,0
470,Gjesdal,Private,Kindergartens,2019,3
471,Sola,Municipal,Kindergartens,2019,13
472,Sola,County authorities/Government,Kindergartens,2019,0
473,Sola,Private,Kindergartens,2019,17
474,Randaberg,Municipal,Kindergartens,2019,6
475,Randaberg,County authorities/Government,Kindergartens,2019,0
476,Randaberg,Private,Kindergartens,2019,4
477,Strand,Municipal,Kindergartens,2019,4
478,Strand,County authorities/Government,Kindergartens,2019,0
479,Strand,Private,Kindergartens,2019,6
480,Hjelmeland,Municipal,Kindergartens,2019,4
481,Hjelmeland,County authorities/Government,Kindergartens,2019,0
482,Hjelmeland,Private,Kindergartens,2019,0
483,Suldal,Municipal,Kindergartens,2019,8
484,Suldal,County authorities/Government,Kindergartens,2019,0
485,Suldal,Private,Kindergartens,2019,0
486,Sauda,Municipal,Kindergartens,2019,3
487,Sauda,County authorities/Government,Kindergartens,2019,0
488,Sauda,Private,Kindergartens,2019,1
489,Kvitsøy,Municipal,Kindergartens,2019,1
490,Kvitsøy,County authorities/Government,Kindergartens,2019,0
491,Kvitsøy,Private,Kindergartens,2019,0
492,Bokn,Municipal,Kindergartens,2019,1
493,Bokn,County authorities/Government,Kindergartens,2019,0
494,Bokn,Private,Kindergartens,2019,0
495,Tysvær,Municipal,Kindergartens,2019,7
496,Tysvær,County authorities/Government,Kindergartens,2019,0
497,Tysvær,Private,Kindergartens,2019,3
498,Karmøy,Municipal,Kindergartens,2019,8
499,Karmøy,County authorities/Government,Kindergartens,2019,0
500,Karmøy,Private,Kindergartens,2019,24
501,Utsira,Municipal,Kindergartens,2019,1
502,Utsira,County authorities/Government,Kindergartens,2019,0
503,Utsira,Private,Kindergartens,2019,0
504,Vindafjord,Municipal,Kindergartens,2019,7
505,Vindafjord,County authorities/Government,Kindergartens,2019,0
506,Vindafjord,Private,Kindergartens,2019,3
507,Bergen,Municipal,Kindergartens,2019,74
508,Bergen,County authorities/Government,Kindergartens,2019,4
509,Bergen,Private,Kindergartens,2019,181
510,Kinn,Municipal,Kindergartens,2019,13
511,Kinn,County authorities/Government,Kindergartens,2019,0
512,Kinn,Private,Kindergartens,2019,5
513,Etne,Municipal,Kindergartens,2019,2
514,Etne,County authorities/Government,Kindergartens,2019,0
515,Etne,Private,Kindergartens,2019,1
516,Sveio,Municipal,Kindergartens,2019,3
517,Sveio,County authorities/Government,Kindergartens,2019,0
518,Sveio,Private,Kindergartens,2019,5
519,Bømlo,Municipal,Kindergartens,2019,0
520,Bømlo,County authorities/Government,Kindergartens,2019,0
521,Bømlo,Private,Kindergartens,2019,8
522,Stord,Municipal,Kindergartens,2019,5
523,Stord,County authorities/Government,Kindergartens,2019,0
524,Stord,Private,Kindergartens,2019,15
525,Fitjar,Municipal,Kindergartens,2019,1
526,Fitjar,County authorities/Government,Kindergartens,2019,0
527,Fitjar,Private,Kindergartens,2019,4
528,Tysnes,Municipal,Kindergartens,2019,4
529,Tysnes,County authorities/Government,Kindergartens,2019,0
530,Tysnes,Private,Kindergartens,2019,0
531,Kvinnherad,Municipal,Kindergartens,2019,12
532,Kvinnherad,County authorities/Government,Kindergartens,2019,0
533,Kvinnherad,Private,Kindergartens,2019,5
534,Ullensvang,Municipal,Kindergartens,2019,13
535,Ullensvang,County authorities/Government,Kindergartens,2019,0
536,Ullensvang,Private,Kindergartens,2019,0
537,Eidfjord,Municipal,Kindergartens,2019,1
538,Eidfjord,County authorities/Government,Kindergartens,2019,0
539,Eidfjord,Private,Kindergartens,2019,0
540,Ulvik,Municipal,Kindergartens,2019,1
541,Ulvik,County authorities/Government,Kindergartens,2019,0
542,Ulvik,Private,Kindergartens,2019,0
543,Voss,Municipal,Kindergartens,2019,9
544,Voss,County authorities/Government,Kindergartens,2019,0
545,Voss,Private,Kindergartens,2019,9
546,Kvam,Municipal,Kindergartens,2019,5
547,Kvam,County authorities/Government,Kindergartens,2019,0
548,Kvam,Private,Kindergartens,2019,1
549,Samnanger,Municipal,Kindergartens,2019,2
550,Samnanger,County authorities/Government,Kindergartens,2019,0
