,region,contents,year,value
63,Aremark,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
64,Aremark,Share of single rooms (per cent),2019,
65,Aremark,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
66,Marker,"Rooms, total (number)",2019,
67,Marker,Private rooms (number),2019,
68,Marker,Rooms for two or more (number),2019,
69,Marker,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
70,Marker,Share of single rooms (per cent),2019,
71,Marker,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
72,Indre Østfold,"Rooms, total (number)",2019,
73,Indre Østfold,Private rooms (number),2019,
74,Indre Østfold,Rooms for two or more (number),2019,
75,Indre Østfold,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
76,Indre Østfold,Share of single rooms (per cent),2019,
77,Indre Østfold,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
78,Skiptvet,"Rooms, total (number)",2019,
79,Skiptvet,Private rooms (number),2019,
80,Skiptvet,Rooms for two or more (number),2019,
81,Skiptvet,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
82,Skiptvet,Share of single rooms (per cent),2019,
83,Skiptvet,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
84,Rakkestad,"Rooms, total (number)",2019,
85,Rakkestad,Private rooms (number),2019,
86,Rakkestad,Rooms for two or more (number),2019,
87,Rakkestad,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
88,Rakkestad,Share of single rooms (per cent),2019,
89,Rakkestad,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
90,Råde,"Rooms, total (number)",2019,
91,Råde,Private rooms (number),2019,
92,Råde,Rooms for two or more (number),2019,
93,Råde,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
94,Råde,Share of single rooms (per cent),2019,
95,Råde,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
96,Våler (Østfold),"Rooms, total (number)",2019,
97,Våler (Østfold),Private rooms (number),2019,
98,Våler (Østfold),Rooms for two or more (number),2019,
99,Våler (Østfold),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
100,Våler (Østfold),Share of single rooms (per cent),2019,
101,Våler (Østfold),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
102,Vestby,"Rooms, total (number)",2019,
103,Vestby,Private rooms (number),2019,
104,Vestby,Rooms for two or more (number),2019,
105,Vestby,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
106,Vestby,Share of single rooms (per cent),2019,
107,Vestby,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
108,Nordre Follo,"Rooms, total (number)",2019,
109,Nordre Follo,Private rooms (number),2019,
110,Nordre Follo,Rooms for two or more (number),2019,
111,Nordre Follo,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
112,Nordre Follo,Share of single rooms (per cent),2019,
113,Nordre Follo,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
114,Ås,"Rooms, total (number)",2019,
115,Ås,Private rooms (number),2019,
116,Ås,Rooms for two or more (number),2019,
117,Ås,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
118,Ås,Share of single rooms (per cent),2019,
119,Ås,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
120,Frogn,"Rooms, total (number)",2019,
121,Frogn,Private rooms (number),2019,
122,Frogn,Rooms for two or more (number),2019,
123,Frogn,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
124,Frogn,Share of single rooms (per cent),2019,
125,Frogn,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
126,Nesodden,"Rooms, total (number)",2019,
127,Nesodden,Private rooms (number),2019,
128,Nesodden,Rooms for two or more (number),2019,
129,Nesodden,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
130,Nesodden,Share of single rooms (per cent),2019,
131,Nesodden,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
132,Bærum,"Rooms, total (number)",2019,
133,Bærum,Private rooms (number),2019,
134,Bærum,Rooms for two or more (number),2019,
135,Bærum,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
136,Bærum,Share of single rooms (per cent),2019,
137,Bærum,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
138,Asker,"Rooms, total (number)",2019,
139,Asker,Private rooms (number),2019,
140,Asker,Rooms for two or more (number),2019,
141,Asker,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
142,Asker,Share of single rooms (per cent),2019,
143,Asker,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
144,Aurskog-Høland,"Rooms, total (number)",2019,
145,Aurskog-Høland,Private rooms (number),2019,
146,Aurskog-Høland,Rooms for two or more (number),2019,
147,Aurskog-Høland,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
148,Aurskog-Høland,Share of single rooms (per cent),2019,
149,Aurskog-Høland,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
150,Rælingen,"Rooms, total (number)",2019,
151,Rælingen,Private rooms (number),2019,
152,Rælingen,Rooms for two or more (number),2019,
153,Rælingen,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
154,Rælingen,Share of single rooms (per cent),2019,
155,Rælingen,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
156,Enebakk,"Rooms, total (number)",2019,
157,Enebakk,Private rooms (number),2019,
158,Enebakk,Rooms for two or more (number),2019,
159,Enebakk,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
160,Enebakk,Share of single rooms (per cent),2019,
161,Enebakk,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
162,Lørenskog,"Rooms, total (number)",2019,
163,Lørenskog,Private rooms (number),2019,
164,Lørenskog,Rooms for two or more (number),2019,
165,Lørenskog,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
166,Lørenskog,Share of single rooms (per cent),2019,
167,Lørenskog,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
168,Lillestrøm,"Rooms, total (number)",2019,
169,Lillestrøm,Private rooms (number),2019,
170,Lillestrøm,Rooms for two or more (number),2019,
171,Lillestrøm,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
172,Lillestrøm,Share of single rooms (per cent),2019,
173,Lillestrøm,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
174,Nittedal,"Rooms, total (number)",2019,
175,Nittedal,Private rooms (number),2019,
176,Nittedal,Rooms for two or more (number),2019,
177,Nittedal,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
178,Nittedal,Share of single rooms (per cent),2019,
179,Nittedal,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
180,Gjerdrum,"Rooms, total (number)",2019,
181,Gjerdrum,Private rooms (number),2019,
182,Gjerdrum,Rooms for two or more (number),2019,
183,Gjerdrum,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
184,Gjerdrum,Share of single rooms (per cent),2019,
185,Gjerdrum,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
186,Ullensaker,"Rooms, total (number)",2019,
187,Ullensaker,Private rooms (number),2019,
188,Ullensaker,Rooms for two or more (number),2019,
189,Ullensaker,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
190,Ullensaker,Share of single rooms (per cent),2019,
191,Ullensaker,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
192,Nes (Akershus),"Rooms, total (number)",2019,
193,Nes (Akershus),Private rooms (number),2019,
194,Nes (Akershus),Rooms for two or more (number),2019,
195,Nes (Akershus),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
196,Nes (Akershus),Share of single rooms (per cent),2019,
197,Nes (Akershus),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
198,Eidsvoll,"Rooms, total (number)",2019,
199,Eidsvoll,Private rooms (number),2019,
200,Eidsvoll,Rooms for two or more (number),2019,
201,Eidsvoll,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
202,Eidsvoll,Share of single rooms (per cent),2019,
203,Eidsvoll,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
204,Nannestad,"Rooms, total (number)",2019,
205,Nannestad,Private rooms (number),2019,
206,Nannestad,Rooms for two or more (number),2019,
207,Nannestad,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
208,Nannestad,Share of single rooms (per cent),2019,
209,Nannestad,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
210,Hurdal,"Rooms, total (number)",2019,
211,Hurdal,Private rooms (number),2019,
212,Hurdal,Rooms for two or more (number),2019,
213,Hurdal,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
214,Hurdal,Share of single rooms (per cent),2019,
215,Hurdal,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
216,Hole,"Rooms, total (number)",2019,
217,Hole,Private rooms (number),2019,
218,Hole,Rooms for two or more (number),2019,
219,Hole,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
220,Hole,Share of single rooms (per cent),2019,
221,Hole,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
222,Flå,"Rooms, total (number)",2019,
223,Flå,Private rooms (number),2019,
224,Flå,Rooms for two or more (number),2019,
225,Flå,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
226,Flå,Share of single rooms (per cent),2019,
227,Flå,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
228,Nes (Buskerud),"Rooms, total (number)",2019,
229,Nes (Buskerud),Private rooms (number),2019,
230,Nes (Buskerud),Rooms for two or more (number),2019,
231,Nes (Buskerud),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
232,Nes (Buskerud),Share of single rooms (per cent),2019,
233,Nes (Buskerud),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
234,Gol,"Rooms, total (number)",2019,
235,Gol,Private rooms (number),2019,
236,Gol,Rooms for two or more (number),2019,
237,Gol,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
238,Gol,Share of single rooms (per cent),2019,
239,Gol,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
240,Hemsedal,"Rooms, total (number)",2019,
241,Hemsedal,Private rooms (number),2019,
242,Hemsedal,Rooms for two or more (number),2019,
243,Hemsedal,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
244,Hemsedal,Share of single rooms (per cent),2019,
245,Hemsedal,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
246,Ål,"Rooms, total (number)",2019,
247,Ål,Private rooms (number),2019,
248,Ål,Rooms for two or more (number),2019,
249,Ål,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
250,Ål,Share of single rooms (per cent),2019,
251,Ål,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
252,Hol,"Rooms, total (number)",2019,
253,Hol,Private rooms (number),2019,
254,Hol,Rooms for two or more (number),2019,
255,Hol,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
256,Hol,Share of single rooms (per cent),2019,
257,Hol,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
258,Sigdal,"Rooms, total (number)",2019,
259,Sigdal,Private rooms (number),2019,
260,Sigdal,Rooms for two or more (number),2019,
261,Sigdal,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
262,Sigdal,Share of single rooms (per cent),2019,
263,Sigdal,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
264,Krødsherad,"Rooms, total (number)",2019,
265,Krødsherad,Private rooms (number),2019,
266,Krødsherad,Rooms for two or more (number),2019,
267,Krødsherad,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
268,Krødsherad,Share of single rooms (per cent),2019,
269,Krødsherad,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
270,Modum,"Rooms, total (number)",2019,
271,Modum,Private rooms (number),2019,
272,Modum,Rooms for two or more (number),2019,
273,Modum,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
274,Modum,Share of single rooms (per cent),2019,
275,Modum,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
276,Øvre Eiker,"Rooms, total (number)",2019,
277,Øvre Eiker,Private rooms (number),2019,
278,Øvre Eiker,Rooms for two or more (number),2019,
279,Øvre Eiker,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
280,Øvre Eiker,Share of single rooms (per cent),2019,
281,Øvre Eiker,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
282,Lier,"Rooms, total (number)",2019,
283,Lier,Private rooms (number),2019,
284,Lier,Rooms for two or more (number),2019,
285,Lier,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
286,Lier,Share of single rooms (per cent),2019,
287,Lier,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
288,Flesberg,"Rooms, total (number)",2019,
289,Flesberg,Private rooms (number),2019,
290,Flesberg,Rooms for two or more (number),2019,
291,Flesberg,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
292,Flesberg,Share of single rooms (per cent),2019,
293,Flesberg,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
294,Rollag,"Rooms, total (number)",2019,
295,Rollag,Private rooms (number),2019,
296,Rollag,Rooms for two or more (number),2019,
297,Rollag,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
298,Rollag,Share of single rooms (per cent),2019,
299,Rollag,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
300,Nore og Uvdal,"Rooms, total (number)",2019,
301,Nore og Uvdal,Private rooms (number),2019,
302,Nore og Uvdal,Rooms for two or more (number),2019,
303,Nore og Uvdal,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
304,Nore og Uvdal,Share of single rooms (per cent),2019,
305,Nore og Uvdal,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
306,Jevnaker,"Rooms, total (number)",2019,
307,Jevnaker,Private rooms (number),2019,
308,Jevnaker,Rooms for two or more (number),2019,
309,Jevnaker,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
310,Jevnaker,Share of single rooms (per cent),2019,
311,Jevnaker,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
312,Lunner,"Rooms, total (number)",2019,
313,Lunner,Private rooms (number),2019,
314,Lunner,Rooms for two or more (number),2019,
315,Lunner,User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,
316,Lunner,Share of single rooms (per cent),2019,
317,Lunner,Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,
318,Halden (-2019),"Rooms, total (number)",2019,244.0
319,Halden (-2019),Private rooms (number),2019,240.0
320,Halden (-2019),Rooms for two or more (number),2019,4.0
321,Halden (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,240.0
322,Halden (-2019),Share of single rooms (per cent),2019,98.4
323,Halden (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,98.4
324,Moss (-2019),"Rooms, total (number)",2019,176.0
325,Moss (-2019),Private rooms (number),2019,176.0
326,Moss (-2019),Rooms for two or more (number),2019,0.0
327,Moss (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,176.0
328,Moss (-2019),Share of single rooms (per cent),2019,100.0
329,Moss (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
330,Sarpsborg (-2019),"Rooms, total (number)",2019,415.0
331,Sarpsborg (-2019),Private rooms (number),2019,383.0
332,Sarpsborg (-2019),Rooms for two or more (number),2019,32.0
333,Sarpsborg (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,270.0
334,Sarpsborg (-2019),Share of single rooms (per cent),2019,92.3
335,Sarpsborg (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,65.1
336,Fredrikstad (-2019),"Rooms, total (number)",2019,589.0
337,Fredrikstad (-2019),Private rooms (number),2019,584.0
338,Fredrikstad (-2019),Rooms for two or more (number),2019,5.0
339,Fredrikstad (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,533.0
340,Fredrikstad (-2019),Share of single rooms (per cent),2019,99.2
341,Fredrikstad (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,90.5
342,Hvaler (-2019),"Rooms, total (number)",2019,36.0
343,Hvaler (-2019),Private rooms (number),2019,36.0
344,Hvaler (-2019),Rooms for two or more (number),2019,0.0
345,Hvaler (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,36.0
346,Hvaler (-2019),Share of single rooms (per cent),2019,100.0
347,Hvaler (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
348,Aremark (-2019),"Rooms, total (number)",2019,16.0
349,Aremark (-2019),Private rooms (number),2019,16.0
350,Aremark (-2019),Rooms for two or more (number),2019,0.0
351,Aremark (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,16.0
352,Aremark (-2019),Share of single rooms (per cent),2019,100.0
353,Aremark (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
354,Marker (-2019),"Rooms, total (number)",2019,42.0
355,Marker (-2019),Private rooms (number),2019,42.0
356,Marker (-2019),Rooms for two or more (number),2019,0.0
357,Marker (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,42.0
358,Marker (-2019),Share of single rooms (per cent),2019,100.0
359,Marker (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
360,Rømskog (-2019),"Rooms, total (number)",2019,13.0
361,Rømskog (-2019),Private rooms (number),2019,13.0
362,Rømskog (-2019),Rooms for two or more (number),2019,0.0
363,Rømskog (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,13.0
364,Rømskog (-2019),Share of single rooms (per cent),2019,100.0
365,Rømskog (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
366,Trøgstad (-2019),"Rooms, total (number)",2019,43.0
367,Trøgstad (-2019),Private rooms (number),2019,38.0
368,Trøgstad (-2019),Rooms for two or more (number),2019,5.0
369,Trøgstad (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,38.0
370,Trøgstad (-2019),Share of single rooms (per cent),2019,88.4
371,Trøgstad (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,88.4
372,Spydeberg (-2019),"Rooms, total (number)",2019,43.0
373,Spydeberg (-2019),Private rooms (number),2019,41.0
374,Spydeberg (-2019),Rooms for two or more (number),2019,2.0
375,Spydeberg (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,39.0
376,Spydeberg (-2019),Share of single rooms (per cent),2019,95.3
377,Spydeberg (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,90.7
378,Askim (-2019),"Rooms, total (number)",2019,103.0
379,Askim (-2019),Private rooms (number),2019,98.0
380,Askim (-2019),Rooms for two or more (number),2019,5.0
381,Askim (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,98.0
382,Askim (-2019),Share of single rooms (per cent),2019,95.1
383,Askim (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,95.1
384,Eidsberg (-2019),"Rooms, total (number)",2019,85.0
385,Eidsberg (-2019),Private rooms (number),2019,85.0
386,Eidsberg (-2019),Rooms for two or more (number),2019,0.0
387,Eidsberg (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,85.0
388,Eidsberg (-2019),Share of single rooms (per cent),2019,100.0
389,Eidsberg (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
390,Skiptvet (-2019),"Rooms, total (number)",2019,40.0
391,Skiptvet (-2019),Private rooms (number),2019,40.0
392,Skiptvet (-2019),Rooms for two or more (number),2019,0.0
393,Skiptvet (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,40.0
394,Skiptvet (-2019),Share of single rooms (per cent),2019,100.0
395,Skiptvet (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
396,Rakkestad (-2019),"Rooms, total (number)",2019,61.0
397,Rakkestad (-2019),Private rooms (number),2019,57.0
398,Rakkestad (-2019),Rooms for two or more (number),2019,4.0
399,Rakkestad (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,57.0
400,Rakkestad (-2019),Share of single rooms (per cent),2019,93.4
401,Rakkestad (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,93.4
402,Råde (-2019),"Rooms, total (number)",2019,58.0
403,Råde (-2019),Private rooms (number),2019,58.0
404,Råde (-2019),Rooms for two or more (number),2019,0.0
405,Råde (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,50.0
406,Råde (-2019),Share of single rooms (per cent),2019,100.0
407,Råde (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,86.2
408,Rygge (-2019),"Rooms, total (number)",2019,88.0
409,Rygge (-2019),Private rooms (number),2019,88.0
410,Rygge (-2019),Rooms for two or more (number),2019,0.0
411,Rygge (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,88.0
412,Rygge (-2019),Share of single rooms (per cent),2019,100.0
413,Rygge (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
414,Våler (Østfold) (-2019),"Rooms, total (number)",2019,25.0
415,Våler (Østfold) (-2019),Private rooms (number),2019,25.0
416,Våler (Østfold) (-2019),Rooms for two or more (number),2019,0.0
417,Våler (Østfold) (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,25.0
418,Våler (Østfold) (-2019),Share of single rooms (per cent),2019,100.0
419,Våler (Østfold) (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
420,Hobøl (-2019),"Rooms, total (number)",2019,30.0
421,Hobøl (-2019),Private rooms (number),2019,30.0
422,Hobøl (-2019),Rooms for two or more (number),2019,0.0
423,Hobøl (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,29.0
424,Hobøl (-2019),Share of single rooms (per cent),2019,100.0
425,Hobøl (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,96.7
426,Vestby (-2019),"Rooms, total (number)",2019,104.0
427,Vestby (-2019),Private rooms (number),2019,104.0
428,Vestby (-2019),Rooms for two or more (number),2019,0.0
429,Vestby (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,104.0
430,Vestby (-2019),Share of single rooms (per cent),2019,100.0
431,Vestby (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
432,Ski (-2019),"Rooms, total (number)",2019,209.0
433,Ski (-2019),Private rooms (number),2019,209.0
434,Ski (-2019),Rooms for two or more (number),2019,0.0
435,Ski (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,209.0
436,Ski (-2019),Share of single rooms (per cent),2019,100.0
437,Ski (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
438,Ås (-2019),"Rooms, total (number)",2019,132.0
439,Ås (-2019),Private rooms (number),2019,114.0
440,Ås (-2019),Rooms for two or more (number),2019,18.0
441,Ås (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,114.0
442,Ås (-2019),Share of single rooms (per cent),2019,86.4
443,Ås (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,86.4
444,Frogn (-2019),"Rooms, total (number)",2019,137.0
