,region,holding sector,number of employees,contents,year,value
136,Sarpsborg (1992-2019),Non-financial corporations,No one employeed,Establishments,2019,1172
137,Sarpsborg (1992-2019),Non-financial corporations,1-4 employees,Establishments,2019,645
138,Sarpsborg (1992-2019),Non-financial corporations,5-9 employees,Establishments,2019,346
139,Sarpsborg (1992-2019),Non-financial corporations,10-19 employees,Establishments,2019,206
140,Sarpsborg (1992-2019),Non-financial corporations,20-49 employees,Establishments,2019,125
141,Sarpsborg (1992-2019),Non-financial corporations,50-99 employees,Establishments,2019,25
142,Sarpsborg (1992-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,18
143,Sarpsborg (1992-2019),Non-financial corporations,250 employees and more,Establishments,2019,3
144,Sarpsborg (1992-2019),Households and non-profit institutions,All size groups,Establishments,2019,2115
145,Sarpsborg (1992-2019),Households and non-profit institutions,No one employeed,Establishments,2019,1890
146,Sarpsborg (1992-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,181
147,Sarpsborg (1992-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,35
148,Sarpsborg (1992-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,7
149,Sarpsborg (1992-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,2
150,Sarpsborg (1992-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
151,Sarpsborg (1992-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
152,Sarpsborg (1992-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
153,Sarpsborg (1992-2019),Unspecified sector/others,All size groups,Establishments,2019,0
154,Sarpsborg (1992-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
155,Sarpsborg (1992-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
156,Sarpsborg (1992-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
157,Sarpsborg (1992-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
158,Sarpsborg (1992-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
159,Sarpsborg (1992-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
160,Sarpsborg (1992-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
161,Sarpsborg (1992-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
162,Fredrikstad (1994-2019),Sum all sectors,All size groups,Establishments,2019,7622
163,Fredrikstad (1994-2019),Sum all sectors,No one employeed,Establishments,2019,4892
164,Fredrikstad (1994-2019),Sum all sectors,1-4 employees,Establishments,2019,1363
165,Fredrikstad (1994-2019),Sum all sectors,5-9 employees,Establishments,2019,553
166,Fredrikstad (1994-2019),Sum all sectors,10-19 employees,Establishments,2019,417
167,Fredrikstad (1994-2019),Sum all sectors,20-49 employees,Establishments,2019,270
168,Fredrikstad (1994-2019),Sum all sectors,50-99 employees,Establishments,2019,81
169,Fredrikstad (1994-2019),Sum all sectors,100 - 249 employees,Establishments,2019,36
170,Fredrikstad (1994-2019),Sum all sectors,250 employees and more,Establishments,2019,10
171,Fredrikstad (1994-2019),General government,All size groups,Establishments,2019,241
172,Fredrikstad (1994-2019),General government,No one employeed,Establishments,2019,14
173,Fredrikstad (1994-2019),General government,1-4 employees,Establishments,2019,12
174,Fredrikstad (1994-2019),General government,5-9 employees,Establishments,2019,19
175,Fredrikstad (1994-2019),General government,10-19 employees,Establishments,2019,60
176,Fredrikstad (1994-2019),General government,20-49 employees,Establishments,2019,72
177,Fredrikstad (1994-2019),General government,50-99 employees,Establishments,2019,42
178,Fredrikstad (1994-2019),General government,100 - 249 employees,Establishments,2019,15
179,Fredrikstad (1994-2019),General government,250 employees and more,Establishments,2019,7
180,Fredrikstad (1994-2019),Financial corporations,All size groups,Establishments,2019,47
181,Fredrikstad (1994-2019),Financial corporations,No one employeed,Establishments,2019,27
182,Fredrikstad (1994-2019),Financial corporations,1-4 employees,Establishments,2019,11
183,Fredrikstad (1994-2019),Financial corporations,5-9 employees,Establishments,2019,1
184,Fredrikstad (1994-2019),Financial corporations,10-19 employees,Establishments,2019,6
185,Fredrikstad (1994-2019),Financial corporations,20-49 employees,Establishments,2019,1
186,Fredrikstad (1994-2019),Financial corporations,50-99 employees,Establishments,2019,0
187,Fredrikstad (1994-2019),Financial corporations,100 - 249 employees,Establishments,2019,1
188,Fredrikstad (1994-2019),Financial corporations,250 employees and more,Establishments,2019,0
189,Fredrikstad (1994-2019),Non-financial corporations,All size groups,Establishments,2019,4063
190,Fredrikstad (1994-2019),Non-financial corporations,No one employeed,Establishments,2019,1886
191,Fredrikstad (1994-2019),Non-financial corporations,1-4 employees,Establishments,2019,1090
192,Fredrikstad (1994-2019),Non-financial corporations,5-9 employees,Establishments,2019,505
193,Fredrikstad (1994-2019),Non-financial corporations,10-19 employees,Establishments,2019,333
194,Fredrikstad (1994-2019),Non-financial corporations,20-49 employees,Establishments,2019,189
195,Fredrikstad (1994-2019),Non-financial corporations,50-99 employees,Establishments,2019,37
196,Fredrikstad (1994-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,20
197,Fredrikstad (1994-2019),Non-financial corporations,250 employees and more,Establishments,2019,3
198,Fredrikstad (1994-2019),Households and non-profit institutions,All size groups,Establishments,2019,3270
199,Fredrikstad (1994-2019),Households and non-profit institutions,No one employeed,Establishments,2019,2964
200,Fredrikstad (1994-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,250
201,Fredrikstad (1994-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,28
202,Fredrikstad (1994-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,18
203,Fredrikstad (1994-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,8
204,Fredrikstad (1994-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,2
205,Fredrikstad (1994-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
206,Fredrikstad (1994-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
207,Fredrikstad (1994-2019),Unspecified sector/others,All size groups,Establishments,2019,1
208,Fredrikstad (1994-2019),Unspecified sector/others,No one employeed,Establishments,2019,1
209,Fredrikstad (1994-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
210,Fredrikstad (1994-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
211,Fredrikstad (1994-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
212,Fredrikstad (1994-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
213,Fredrikstad (1994-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
214,Fredrikstad (1994-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
215,Fredrikstad (1994-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
216,Hvaler (-2019),Sum all sectors,All size groups,Establishments,2019,584
217,Hvaler (-2019),Sum all sectors,No one employeed,Establishments,2019,415
218,Hvaler (-2019),Sum all sectors,1-4 employees,Establishments,2019,101
219,Hvaler (-2019),Sum all sectors,5-9 employees,Establishments,2019,31
220,Hvaler (-2019),Sum all sectors,10-19 employees,Establishments,2019,22
221,Hvaler (-2019),Sum all sectors,20-49 employees,Establishments,2019,12
222,Hvaler (-2019),Sum all sectors,50-99 employees,Establishments,2019,3
223,Hvaler (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,0
224,Hvaler (-2019),Sum all sectors,250 employees and more,Establishments,2019,0
225,Hvaler (-2019),General government,All size groups,Establishments,2019,39
226,Hvaler (-2019),General government,No one employeed,Establishments,2019,3
227,Hvaler (-2019),General government,1-4 employees,Establishments,2019,7
228,Hvaler (-2019),General government,5-9 employees,Establishments,2019,10
229,Hvaler (-2019),General government,10-19 employees,Establishments,2019,7
230,Hvaler (-2019),General government,20-49 employees,Establishments,2019,9
231,Hvaler (-2019),General government,50-99 employees,Establishments,2019,3
232,Hvaler (-2019),General government,100 - 249 employees,Establishments,2019,0
233,Hvaler (-2019),General government,250 employees and more,Establishments,2019,0
234,Hvaler (-2019),Financial corporations,All size groups,Establishments,2019,1
235,Hvaler (-2019),Financial corporations,No one employeed,Establishments,2019,1
236,Hvaler (-2019),Financial corporations,1-4 employees,Establishments,2019,0
237,Hvaler (-2019),Financial corporations,5-9 employees,Establishments,2019,0
238,Hvaler (-2019),Financial corporations,10-19 employees,Establishments,2019,0
239,Hvaler (-2019),Financial corporations,20-49 employees,Establishments,2019,0
240,Hvaler (-2019),Financial corporations,50-99 employees,Establishments,2019,0
241,Hvaler (-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
242,Hvaler (-2019),Financial corporations,250 employees and more,Establishments,2019,0
243,Hvaler (-2019),Non-financial corporations,All size groups,Establishments,2019,254
244,Hvaler (-2019),Non-financial corporations,No one employeed,Establishments,2019,143
245,Hvaler (-2019),Non-financial corporations,1-4 employees,Establishments,2019,73
246,Hvaler (-2019),Non-financial corporations,5-9 employees,Establishments,2019,20
247,Hvaler (-2019),Non-financial corporations,10-19 employees,Establishments,2019,15
248,Hvaler (-2019),Non-financial corporations,20-49 employees,Establishments,2019,3
249,Hvaler (-2019),Non-financial corporations,50-99 employees,Establishments,2019,0
250,Hvaler (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,0
251,Hvaler (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
252,Hvaler (-2019),Households and non-profit institutions,All size groups,Establishments,2019,290
253,Hvaler (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,268
254,Hvaler (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,21
255,Hvaler (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,1
256,Hvaler (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,0
257,Hvaler (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,0
258,Hvaler (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
259,Hvaler (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
260,Hvaler (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
261,Hvaler (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
262,Hvaler (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
263,Hvaler (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
264,Hvaler (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
265,Hvaler (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
266,Hvaler (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
267,Hvaler (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
268,Hvaler (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
269,Hvaler (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
270,Aremark (-2019),Sum all sectors,All size groups,Establishments,2019,226
271,Aremark (-2019),Sum all sectors,No one employeed,Establishments,2019,179
272,Aremark (-2019),Sum all sectors,1-4 employees,Establishments,2019,30
273,Aremark (-2019),Sum all sectors,5-9 employees,Establishments,2019,8
274,Aremark (-2019),Sum all sectors,10-19 employees,Establishments,2019,7
275,Aremark (-2019),Sum all sectors,20-49 employees,Establishments,2019,1
276,Aremark (-2019),Sum all sectors,50-99 employees,Establishments,2019,1
277,Aremark (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,0
278,Aremark (-2019),Sum all sectors,250 employees and more,Establishments,2019,0
279,Aremark (-2019),General government,All size groups,Establishments,2019,22
280,Aremark (-2019),General government,No one employeed,Establishments,2019,1
281,Aremark (-2019),General government,1-4 employees,Establishments,2019,9
282,Aremark (-2019),General government,5-9 employees,Establishments,2019,6
283,Aremark (-2019),General government,10-19 employees,Establishments,2019,4
284,Aremark (-2019),General government,20-49 employees,Establishments,2019,1
285,Aremark (-2019),General government,50-99 employees,Establishments,2019,1
286,Aremark (-2019),General government,100 - 249 employees,Establishments,2019,0
287,Aremark (-2019),General government,250 employees and more,Establishments,2019,0
288,Aremark (-2019),Financial corporations,All size groups,Establishments,2019,1
289,Aremark (-2019),Financial corporations,No one employeed,Establishments,2019,1
290,Aremark (-2019),Financial corporations,1-4 employees,Establishments,2019,0
291,Aremark (-2019),Financial corporations,5-9 employees,Establishments,2019,0
292,Aremark (-2019),Financial corporations,10-19 employees,Establishments,2019,0
293,Aremark (-2019),Financial corporations,20-49 employees,Establishments,2019,0
294,Aremark (-2019),Financial corporations,50-99 employees,Establishments,2019,0
295,Aremark (-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
296,Aremark (-2019),Financial corporations,250 employees and more,Establishments,2019,0
297,Aremark (-2019),Non-financial corporations,All size groups,Establishments,2019,42
298,Aremark (-2019),Non-financial corporations,No one employeed,Establishments,2019,29
299,Aremark (-2019),Non-financial corporations,1-4 employees,Establishments,2019,8
300,Aremark (-2019),Non-financial corporations,5-9 employees,Establishments,2019,2
301,Aremark (-2019),Non-financial corporations,10-19 employees,Establishments,2019,3
302,Aremark (-2019),Non-financial corporations,20-49 employees,Establishments,2019,0
303,Aremark (-2019),Non-financial corporations,50-99 employees,Establishments,2019,0
304,Aremark (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,0
305,Aremark (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
306,Aremark (-2019),Households and non-profit institutions,All size groups,Establishments,2019,161
307,Aremark (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,148
308,Aremark (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,13
309,Aremark (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,0
310,Aremark (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,0
311,Aremark (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,0
312,Aremark (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
313,Aremark (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
314,Aremark (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
315,Aremark (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
316,Aremark (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
317,Aremark (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
318,Aremark (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
319,Aremark (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
320,Aremark (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
321,Aremark (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
322,Aremark (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
323,Aremark (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
324,Marker (-2019),Sum all sectors,All size groups,Establishments,2019,551
325,Marker (-2019),Sum all sectors,No one employeed,Establishments,2019,405
326,Marker (-2019),Sum all sectors,1-4 employees,Establishments,2019,86
327,Marker (-2019),Sum all sectors,5-9 employees,Establishments,2019,25
328,Marker (-2019),Sum all sectors,10-19 employees,Establishments,2019,24
329,Marker (-2019),Sum all sectors,20-49 employees,Establishments,2019,7
330,Marker (-2019),Sum all sectors,50-99 employees,Establishments,2019,3
331,Marker (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,1
332,Marker (-2019),Sum all sectors,250 employees and more,Establishments,2019,0
333,Marker (-2019),General government,All size groups,Establishments,2019,37
334,Marker (-2019),General government,No one employeed,Establishments,2019,3
335,Marker (-2019),General government,1-4 employees,Establishments,2019,13
336,Marker (-2019),General government,5-9 employees,Establishments,2019,5
337,Marker (-2019),General government,10-19 employees,Establishments,2019,11
338,Marker (-2019),General government,20-49 employees,Establishments,2019,3
339,Marker (-2019),General government,50-99 employees,Establishments,2019,2
340,Marker (-2019),General government,100 - 249 employees,Establishments,2019,0
341,Marker (-2019),General government,250 employees and more,Establishments,2019,0
342,Marker (-2019),Financial corporations,All size groups,Establishments,2019,3
343,Marker (-2019),Financial corporations,No one employeed,Establishments,2019,0
344,Marker (-2019),Financial corporations,1-4 employees,Establishments,2019,2
345,Marker (-2019),Financial corporations,5-9 employees,Establishments,2019,0
346,Marker (-2019),Financial corporations,10-19 employees,Establishments,2019,0
347,Marker (-2019),Financial corporations,20-49 employees,Establishments,2019,1
348,Marker (-2019),Financial corporations,50-99 employees,Establishments,2019,0
349,Marker (-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
350,Marker (-2019),Financial corporations,250 employees and more,Establishments,2019,0
351,Marker (-2019),Non-financial corporations,All size groups,Establishments,2019,139
352,Marker (-2019),Non-financial corporations,No one employeed,Establishments,2019,66
353,Marker (-2019),Non-financial corporations,1-4 employees,Establishments,2019,39
354,Marker (-2019),Non-financial corporations,5-9 employees,Establishments,2019,18
355,Marker (-2019),Non-financial corporations,10-19 employees,Establishments,2019,12
356,Marker (-2019),Non-financial corporations,20-49 employees,Establishments,2019,2
357,Marker (-2019),Non-financial corporations,50-99 employees,Establishments,2019,1
358,Marker (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,1
359,Marker (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
360,Marker (-2019),Households and non-profit institutions,All size groups,Establishments,2019,372
361,Marker (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,336
362,Marker (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,32
363,Marker (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,2
364,Marker (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,1
365,Marker (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,1
366,Marker (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
367,Marker (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
368,Marker (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
369,Marker (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
370,Marker (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
371,Marker (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
372,Marker (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
373,Marker (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
374,Marker (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
375,Marker (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
