,region,size of household,contents,year,value
72,Rømskog (-2019),2 persons,Persons in private households,2019,30.6
73,Rømskog (-2019),2 persons,Private households,2019,31.8
74,Rømskog (-2019),3 persons,Persons in private households,2019,17.7
75,Rømskog (-2019),3 persons,Private households,2019,12.3
76,Rømskog (-2019),4 persons,Persons in private households,2019,21.2
77,Rømskog (-2019),4 persons,Private households,2019,11.0
78,Rømskog (-2019),5 persons or more,Persons in private households,2019,10.8
79,Rømskog (-2019),5 persons or more,Private households,2019,4.1
80,Trøgstad (-2019),1 person,Persons in private households,2019,17.1
81,Trøgstad (-2019),1 person,Private households,2019,36.6
82,Trøgstad (-2019),2 persons,Persons in private households,2019,32.7
83,Trøgstad (-2019),2 persons,Private households,2019,35.0
84,Trøgstad (-2019),3 persons,Persons in private households,2019,17.2
85,Trøgstad (-2019),3 persons,Private households,2019,12.2
86,Trøgstad (-2019),4 persons,Persons in private households,2019,21.1
87,Trøgstad (-2019),4 persons,Private households,2019,11.3
88,Trøgstad (-2019),5 persons or more,Persons in private households,2019,11.9
89,Trøgstad (-2019),5 persons or more,Private households,2019,4.9
90,Spydeberg (-2019),1 person,Persons in private households,2019,14.4
91,Spydeberg (-2019),1 person,Private households,2019,32.7
92,Spydeberg (-2019),2 persons,Persons in private households,2019,30.6
93,Spydeberg (-2019),2 persons,Private households,2019,34.6
94,Spydeberg (-2019),3 persons,Persons in private households,2019,18.7
95,Spydeberg (-2019),3 persons,Private households,2019,14.1
96,Spydeberg (-2019),4 persons,Persons in private households,2019,22.5
97,Spydeberg (-2019),4 persons,Private households,2019,12.7
98,Spydeberg (-2019),5 persons or more,Persons in private households,2019,13.7
99,Spydeberg (-2019),5 persons or more,Private households,2019,5.9
100,Askim (-2019),1 person,Persons in private households,2019,17.4
101,Askim (-2019),1 person,Private households,2019,37.8
102,Askim (-2019),2 persons,Persons in private households,2019,29.1
103,Askim (-2019),2 persons,Private households,2019,31.6
104,Askim (-2019),3 persons,Persons in private households,2019,18.5
105,Askim (-2019),3 persons,Private households,2019,13.4
106,Askim (-2019),4 persons,Persons in private households,2019,21.6
107,Askim (-2019),4 persons,Private households,2019,11.8
108,Askim (-2019),5 persons or more,Persons in private households,2019,13.4
109,Askim (-2019),5 persons or more,Private households,2019,5.4
110,Eidsberg (-2019),1 person,Persons in private households,2019,18.2
111,Eidsberg (-2019),1 person,Private households,2019,38.8
112,Eidsberg (-2019),2 persons,Persons in private households,2019,30.2
113,Eidsberg (-2019),2 persons,Private households,2019,32.1
114,Eidsberg (-2019),3 persons,Persons in private households,2019,18.4
115,Eidsberg (-2019),3 persons,Private households,2019,13.1
116,Eidsberg (-2019),4 persons,Persons in private households,2019,20.5
117,Eidsberg (-2019),4 persons,Private households,2019,10.9
118,Eidsberg (-2019),5 persons or more,Persons in private households,2019,12.7
119,Eidsberg (-2019),5 persons or more,Private households,2019,5.0
120,Skiptvet (-2019),1 person,Persons in private households,2019,13.9
121,Skiptvet (-2019),1 person,Private households,2019,32.4
122,Skiptvet (-2019),2 persons,Persons in private households,2019,27.4
123,Skiptvet (-2019),2 persons,Private households,2019,32.0
124,Skiptvet (-2019),3 persons,Persons in private households,2019,19.3
125,Skiptvet (-2019),3 persons,Private households,2019,15.1
126,Skiptvet (-2019),4 persons,Persons in private households,2019,22.4
127,Skiptvet (-2019),4 persons,Private households,2019,13.1
128,Skiptvet (-2019),5 persons or more,Persons in private households,2019,17.0
129,Skiptvet (-2019),5 persons or more,Private households,2019,7.4
130,Rakkestad (-2019),1 person,Persons in private households,2019,16.6
131,Rakkestad (-2019),1 person,Private households,2019,36.6
132,Rakkestad (-2019),2 persons,Persons in private households,2019,29.7
133,Rakkestad (-2019),2 persons,Private households,2019,32.7
134,Rakkestad (-2019),3 persons,Persons in private households,2019,17.4
135,Rakkestad (-2019),3 persons,Private households,2019,12.8
136,Rakkestad (-2019),4 persons,Persons in private households,2019,21.2
137,Rakkestad (-2019),4 persons,Private households,2019,11.7
138,Rakkestad (-2019),5 persons or more,Persons in private households,2019,15.1
139,Rakkestad (-2019),5 persons or more,Private households,2019,6.2
140,Råde (-2019),1 person,Persons in private households,2019,13.0
141,Råde (-2019),1 person,Private households,2019,30.0
142,Råde (-2019),2 persons,Persons in private households,2019,31.4
143,Råde (-2019),2 persons,Private households,2019,36.3
144,Råde (-2019),3 persons,Persons in private households,2019,19.0
145,Råde (-2019),3 persons,Private households,2019,14.6
146,Råde (-2019),4 persons,Persons in private households,2019,22.2
147,Råde (-2019),4 persons,Private households,2019,12.8
148,Råde (-2019),5 persons or more,Persons in private households,2019,14.5
149,Råde (-2019),5 persons or more,Private households,2019,6.2
150,Rygge (-2019),1 person,Persons in private households,2019,14.7
151,Rygge (-2019),1 person,Private households,2019,33.0
152,Rygge (-2019),2 persons,Persons in private households,2019,31.1
153,Rygge (-2019),2 persons,Private households,2019,34.8
154,Rygge (-2019),3 persons,Persons in private households,2019,19.3
155,Rygge (-2019),3 persons,Private households,2019,14.4
156,Rygge (-2019),4 persons,Persons in private households,2019,22.5
157,Rygge (-2019),4 persons,Private households,2019,12.6
158,Rygge (-2019),5 persons or more,Persons in private households,2019,12.3
159,Rygge (-2019),5 persons or more,Private households,2019,5.1
160,Våler (Østfold) (-2019),1 person,Persons in private households,2019,11.7
161,Våler (Østfold) (-2019),1 person,Private households,2019,28.0
162,Våler (Østfold) (-2019),2 persons,Persons in private households,2019,29.3
163,Våler (Østfold) (-2019),2 persons,Private households,2019,35.0
164,Våler (Østfold) (-2019),3 persons,Persons in private households,2019,19.0
165,Våler (Østfold) (-2019),3 persons,Private households,2019,15.1
166,Våler (Østfold) (-2019),4 persons,Persons in private households,2019,26.1
167,Våler (Østfold) (-2019),4 persons,Private households,2019,15.6
168,Våler (Østfold) (-2019),5 persons or more,Persons in private households,2019,13.9
169,Våler (Østfold) (-2019),5 persons or more,Private households,2019,6.3
170,Hobøl (-2019),1 person,Persons in private households,2019,14.3
171,Hobøl (-2019),1 person,Private households,2019,32.3
172,Hobøl (-2019),2 persons,Persons in private households,2019,29.7
173,Hobøl (-2019),2 persons,Private households,2019,33.4
174,Hobøl (-2019),3 persons,Persons in private households,2019,22.3
175,Hobøl (-2019),3 persons,Private households,2019,16.8
176,Hobøl (-2019),4 persons,Persons in private households,2019,22.4
177,Hobøl (-2019),4 persons,Private households,2019,12.6
178,Hobøl (-2019),5 persons or more,Persons in private households,2019,11.3
179,Hobøl (-2019),5 persons or more,Private households,2019,4.9
180,Vestby (-2019),1 person,Persons in private households,2019,12.8
181,Vestby (-2019),1 person,Private households,2019,30.2
182,Vestby (-2019),2 persons,Persons in private households,2019,27.7
183,Vestby (-2019),2 persons,Private households,2019,32.8
184,Vestby (-2019),3 persons,Persons in private households,2019,19.3
185,Vestby (-2019),3 persons,Private households,2019,15.2
186,Vestby (-2019),4 persons,Persons in private households,2019,26.4
187,Vestby (-2019),4 persons,Private households,2019,15.6
188,Vestby (-2019),5 persons or more,Persons in private households,2019,13.8
189,Vestby (-2019),5 persons or more,Private households,2019,6.2
190,Ski (-2019),1 person,Persons in private households,2019,13.0
191,Ski (-2019),1 person,Private households,2019,31.1
192,Ski (-2019),2 persons,Persons in private households,2019,25.7
193,Ski (-2019),2 persons,Private households,2019,30.8
194,Ski (-2019),3 persons,Persons in private households,2019,18.2
195,Ski (-2019),3 persons,Private households,2019,14.5
196,Ski (-2019),4 persons,Persons in private households,2019,28.1
197,Ski (-2019),4 persons,Private households,2019,16.8
198,Ski (-2019),5 persons or more,Persons in private households,2019,15.0
199,Ski (-2019),5 persons or more,Private households,2019,6.7
200,Ås (-2019),1 person,Persons in private households,2019,17.7
201,Ås (-2019),1 person,Private households,2019,39.0
202,Ås (-2019),2 persons,Persons in private households,2019,27.5
203,Ås (-2019),2 persons,Private households,2019,30.2
204,Ås (-2019),3 persons,Persons in private households,2019,16.6
205,Ås (-2019),3 persons,Private households,2019,12.2
206,Ås (-2019),4 persons,Persons in private households,2019,23.0
207,Ås (-2019),4 persons,Private households,2019,12.6
208,Ås (-2019),5 persons or more,Persons in private households,2019,15.1
209,Ås (-2019),5 persons or more,Private households,2019,6.0
210,Frogn (-2019),1 person,Persons in private households,2019,16.0
211,Frogn (-2019),1 person,Private households,2019,35.0
212,Frogn (-2019),2 persons,Persons in private households,2019,31.1
213,Frogn (-2019),2 persons,Private households,2019,34.1
214,Frogn (-2019),3 persons,Persons in private households,2019,18.3
215,Frogn (-2019),3 persons,Private households,2019,13.4
216,Frogn (-2019),4 persons,Persons in private households,2019,23.7
217,Frogn (-2019),4 persons,Private households,2019,13.0
218,Frogn (-2019),5 persons or more,Persons in private households,2019,11.0
219,Frogn (-2019),5 persons or more,Private households,2019,4.5
220,Nesodden (-2019),1 person,Persons in private households,2019,13.7
221,Nesodden (-2019),1 person,Private households,2019,32.2
222,Nesodden (-2019),2 persons,Persons in private households,2019,25.6
223,Nesodden (-2019),2 persons,Private households,2019,30.1
224,Nesodden (-2019),3 persons,Persons in private households,2019,20.5
225,Nesodden (-2019),3 persons,Private households,2019,16.0
226,Nesodden (-2019),4 persons,Persons in private households,2019,26.9
227,Nesodden (-2019),4 persons,Private households,2019,15.8
228,Nesodden (-2019),5 persons or more,Persons in private households,2019,13.3
229,Nesodden (-2019),5 persons or more,Private households,2019,5.9
230,Oppegård (-2019),1 person,Persons in private households,2019,13.0
231,Oppegård (-2019),1 person,Private households,2019,30.8
232,Oppegård (-2019),2 persons,Persons in private households,2019,27.0
233,Oppegård (-2019),2 persons,Private households,2019,32.0
234,Oppegård (-2019),3 persons,Persons in private households,2019,17.6
235,Oppegård (-2019),3 persons,Private households,2019,13.9
236,Oppegård (-2019),4 persons,Persons in private households,2019,29.6
237,Oppegård (-2019),4 persons,Private households,2019,17.5
238,Oppegård (-2019),5 persons or more,Persons in private households,2019,12.8
239,Oppegård (-2019),5 persons or more,Private households,2019,5.8
240,Bærum (-2019),1 person,Persons in private households,2019,14.9
241,Bærum (-2019),1 person,Private households,2019,34.5
242,Bærum (-2019),2 persons,Persons in private households,2019,25.3
243,Bærum (-2019),2 persons,Private households,2019,29.2
244,Bærum (-2019),3 persons,Persons in private households,2019,18.1
245,Bærum (-2019),3 persons,Private households,2019,13.9
246,Bærum (-2019),4 persons,Persons in private households,2019,28.2
247,Bærum (-2019),4 persons,Private households,2019,16.3
248,Bærum (-2019),5 persons or more,Persons in private households,2019,13.5
249,Bærum (-2019),5 persons or more,Private households,2019,6.0
250,Asker (-2019),1 person,Persons in private households,2019,13.3
251,Asker (-2019),1 person,Private households,2019,31.6
252,Asker (-2019),2 persons,Persons in private households,2019,25.5
253,Asker (-2019),2 persons,Private households,2019,30.3
254,Asker (-2019),3 persons,Persons in private households,2019,18.3
255,Asker (-2019),3 persons,Private households,2019,14.5
256,Asker (-2019),4 persons,Persons in private households,2019,28.9
257,Asker (-2019),4 persons,Private households,2019,17.2
258,Asker (-2019),5 persons or more,Persons in private households,2019,14.1
259,Asker (-2019),5 persons or more,Private households,2019,6.4
260,Aurskog-Høland (-2019),1 person,Persons in private households,2019,15.7
261,Aurskog-Høland (-2019),1 person,Private households,2019,34.6
262,Aurskog-Høland (-2019),2 persons,Persons in private households,2019,30.7
263,Aurskog-Høland (-2019),2 persons,Private households,2019,33.9
264,Aurskog-Høland (-2019),3 persons,Persons in private households,2019,19.6
265,Aurskog-Høland (-2019),3 persons,Private households,2019,14.4
266,Aurskog-Høland (-2019),4 persons,Persons in private households,2019,22.4
267,Aurskog-Høland (-2019),4 persons,Private households,2019,12.4
268,Aurskog-Høland (-2019),5 persons or more,Persons in private households,2019,11.7
269,Aurskog-Høland (-2019),5 persons or more,Private households,2019,4.8
270,Sørum (-2019),1 person,Persons in private households,2019,11.9
271,Sørum (-2019),1 person,Private households,2019,29.0
272,Sørum (-2019),2 persons,Persons in private households,2019,25.0
273,Sørum (-2019),2 persons,Private households,2019,30.6
274,Sørum (-2019),3 persons,Persons in private households,2019,19.6
275,Sørum (-2019),3 persons,Private households,2019,16.0
276,Sørum (-2019),4 persons,Persons in private households,2019,28.9
277,Sørum (-2019),4 persons,Private households,2019,17.7
278,Sørum (-2019),5 persons or more,Persons in private households,2019,14.6
279,Sørum (-2019),5 persons or more,Private households,2019,6.7
280,Fet (-2019),1 person,Persons in private households,2019,11.2
281,Fet (-2019),1 person,Private households,2019,27.4
282,Fet (-2019),2 persons,Persons in private households,2019,27.6
283,Fet (-2019),2 persons,Private households,2019,33.6
284,Fet (-2019),3 persons,Persons in private households,2019,18.7
285,Fet (-2019),3 persons,Private households,2019,15.2
286,Fet (-2019),4 persons,Persons in private households,2019,29.3
287,Fet (-2019),4 persons,Private households,2019,17.9
288,Fet (-2019),5 persons or more,Persons in private households,2019,13.1
289,Fet (-2019),5 persons or more,Private households,2019,6.0
290,Rælingen (-2019),1 person,Persons in private households,2019,14.1
291,Rælingen (-2019),1 person,Private households,2019,32.9
292,Rælingen (-2019),2 persons,Persons in private households,2019,25.7
293,Rælingen (-2019),2 persons,Private households,2019,30.0
294,Rælingen (-2019),3 persons,Persons in private households,2019,19.7
295,Rælingen (-2019),3 persons,Private households,2019,15.3
296,Rælingen (-2019),4 persons,Persons in private households,2019,27.7
297,Rælingen (-2019),4 persons,Private households,2019,16.2
298,Rælingen (-2019),5 persons or more,Persons in private households,2019,12.9
299,Rælingen (-2019),5 persons or more,Private households,2019,5.7
300,Enebakk (-2019),1 person,Persons in private households,2019,12.1
301,Enebakk (-2019),1 person,Private households,2019,29.2
302,Enebakk (-2019),2 persons,Persons in private households,2019,26.7
303,Enebakk (-2019),2 persons,Private households,2019,32.1
304,Enebakk (-2019),3 persons,Persons in private households,2019,19.8
305,Enebakk (-2019),3 persons,Private households,2019,15.9
306,Enebakk (-2019),4 persons,Persons in private households,2019,26.5
307,Enebakk (-2019),4 persons,Private households,2019,16.0
308,Enebakk (-2019),5 persons or more,Persons in private households,2019,14.9
309,Enebakk (-2019),5 persons or more,Private households,2019,6.8
310,Lørenskog (-2019),1 person,Persons in private households,2019,15.3
311,Lørenskog (-2019),1 person,Private households,2019,34.8
312,Lørenskog (-2019),2 persons,Persons in private households,2019,26.9
313,Lørenskog (-2019),2 persons,Private households,2019,30.6
314,Lørenskog (-2019),3 persons,Persons in private households,2019,18.7
315,Lørenskog (-2019),3 persons,Private households,2019,14.2
316,Lørenskog (-2019),4 persons,Persons in private households,2019,25.4
317,Lørenskog (-2019),4 persons,Private households,2019,14.5
318,Lørenskog (-2019),5 persons or more,Persons in private households,2019,13.7
319,Lørenskog (-2019),5 persons or more,Private households,2019,5.9
320,Skedsmo (-2019),1 person,Persons in private households,2019,16.2
321,Skedsmo (-2019),1 person,Private households,2019,36.4
322,Skedsmo (-2019),2 persons,Persons in private households,2019,27.0
323,Skedsmo (-2019),2 persons,Private households,2019,30.3
324,Skedsmo (-2019),3 persons,Persons in private households,2019,18.3
325,Skedsmo (-2019),3 persons,Private households,2019,13.7
326,Skedsmo (-2019),4 persons,Persons in private households,2019,25.1
327,Skedsmo (-2019),4 persons,Private households,2019,14.1
328,Skedsmo (-2019),5 persons or more,Persons in private households,2019,13.3
329,Skedsmo (-2019),5 persons or more,Private households,2019,5.5
330,Nittedal (-2019),1 person,Persons in private households,2019,12.0
331,Nittedal (-2019),1 person,Private households,2019,29.4
332,Nittedal (-2019),2 persons,Persons in private households,2019,24.6
333,Nittedal (-2019),2 persons,Private households,2019,30.1
334,Nittedal (-2019),3 persons,Persons in private households,2019,18.7
335,Nittedal (-2019),3 persons,Private households,2019,15.3
336,Nittedal (-2019),4 persons,Persons in private households,2019,30.7
337,Nittedal (-2019),4 persons,Private households,2019,18.8
338,Nittedal (-2019),5 persons or more,Persons in private households,2019,14.0
339,Nittedal (-2019),5 persons or more,Private households,2019,6.5
340,Gjerdrum (-2019),1 person,Persons in private households,2019,11.9
341,Gjerdrum (-2019),1 person,Private households,2019,28.7
342,Gjerdrum (-2019),2 persons,Persons in private households,2019,26.6
343,Gjerdrum (-2019),2 persons,Private households,2019,32.2
344,Gjerdrum (-2019),3 persons,Persons in private households,2019,20.0
345,Gjerdrum (-2019),3 persons,Private households,2019,16.1
346,Gjerdrum (-2019),4 persons,Persons in private households,2019,27.0
347,Gjerdrum (-2019),4 persons,Private households,2019,16.3
348,Gjerdrum (-2019),5 persons or more,Persons in private households,2019,14.5
349,Gjerdrum (-2019),5 persons or more,Private households,2019,6.7
350,Ullensaker (-2019),1 person,Persons in private households,2019,15.2
351,Ullensaker (-2019),1 person,Private households,2019,34.8
352,Ullensaker (-2019),2 persons,Persons in private households,2019,26.2
353,Ullensaker (-2019),2 persons,Private households,2019,30.0
354,Ullensaker (-2019),3 persons,Persons in private households,2019,19.0
355,Ullensaker (-2019),3 persons,Private households,2019,14.5
356,Ullensaker (-2019),4 persons,Persons in private households,2019,25.8
357,Ullensaker (-2019),4 persons,Private households,2019,14.8
358,Ullensaker (-2019),5 persons or more,Persons in private households,2019,13.9
359,Ullensaker (-2019),5 persons or more,Private households,2019,6.0
360,Nes (Akershus) (-2019),1 person,Persons in private households,2019,14.1
361,Nes (Akershus) (-2019),1 person,Private households,2019,32.3
362,Nes (Akershus) (-2019),2 persons,Persons in private households,2019,29.5
363,Nes (Akershus) (-2019),2 persons,Private households,2019,33.7
364,Nes (Akershus) (-2019),3 persons,Persons in private households,2019,18.9
365,Nes (Akershus) (-2019),3 persons,Private households,2019,14.4
366,Nes (Akershus) (-2019),4 persons,Persons in private households,2019,24.7
367,Nes (Akershus) (-2019),4 persons,Private households,2019,14.1
368,Nes (Akershus) (-2019),5 persons or more,Persons in private households,2019,12.8
369,Nes (Akershus) (-2019),5 persons or more,Private households,2019,5.5
370,Eidsvoll (-2019),1 person,Persons in private households,2019,15.0
371,Eidsvoll (-2019),1 person,Private households,2019,34.0
372,Eidsvoll (-2019),2 persons,Persons in private households,2019,28.8
373,Eidsvoll (-2019),2 persons,Private households,2019,32.6
374,Eidsvoll (-2019),3 persons,Persons in private households,2019,18.7
375,Eidsvoll (-2019),3 persons,Private households,2019,14.1
376,Eidsvoll (-2019),4 persons,Persons in private households,2019,24.6
377,Eidsvoll (-2019),4 persons,Private households,2019,13.9
378,Eidsvoll (-2019),5 persons or more,Persons in private households,2019,12.9
379,Eidsvoll (-2019),5 persons or more,Private households,2019,5.4
380,Nannestad (-2019),1 person,Persons in private households,2019,13.2
381,Nannestad (-2019),1 person,Private households,2019,31.2
382,Nannestad (-2019),2 persons,Persons in private households,2019,26.6
383,Nannestad (-2019),2 persons,Private households,2019,31.6
384,Nannestad (-2019),3 persons,Persons in private households,2019,19.2
385,Nannestad (-2019),3 persons,Private households,2019,15.2
386,Nannestad (-2019),4 persons,Persons in private households,2019,25.9
387,Nannestad (-2019),4 persons,Private households,2019,15.3
388,Nannestad (-2019),5 persons or more,Persons in private households,2019,15.1
389,Nannestad (-2019),5 persons or more,Private households,2019,6.6
390,Hurdal (-2019),1 person,Persons in private households,2019,18.0
391,Hurdal (-2019),1 person,Private households,2019,38.5
392,Hurdal (-2019),2 persons,Persons in private households,2019,30.6
393,Hurdal (-2019),2 persons,Private households,2019,32.6
394,Hurdal (-2019),3 persons,Persons in private households,2019,18.0
395,Hurdal (-2019),3 persons,Private households,2019,12.8
396,Hurdal (-2019),4 persons,Persons in private households,2019,21.3
397,Hurdal (-2019),4 persons,Private households,2019,11.4
398,Hurdal (-2019),5 persons or more,Persons in private households,2019,12.1
399,Hurdal (-2019),5 persons or more,Private households,2019,4.8
400,Oslo municipality,1 person,Persons in private households,2019,24.0
401,Oslo municipality,1 person,Private households,2019,47.4
402,Oslo municipality,2 persons,Persons in private households,2019,28.0
403,Oslo municipality,2 persons,Private households,2019,27.7
404,Oslo municipality,3 persons,Persons in private households,2019,16.7
405,Oslo municipality,3 persons,Private households,2019,11.0
406,Oslo municipality,4 persons,Persons in private households,2019,19.5
407,Oslo municipality,4 persons,Private households,2019,9.6
408,Oslo municipality,5 persons or more,Persons in private households,2019,11.8
409,Oslo municipality,5 persons or more,Private households,2019,4.3
410,Kongsvinger (-2019),1 person,Persons in private households,2019,20.9
411,Kongsvinger (-2019),1 person,Private households,2019,42.0
412,Kongsvinger (-2019),2 persons,Persons in private households,2019,33.3
413,Kongsvinger (-2019),2 persons,Private households,2019,33.5
414,Kongsvinger (-2019),3 persons,Persons in private households,2019,16.7
415,Kongsvinger (-2019),3 persons,Private households,2019,11.2
416,Kongsvinger (-2019),4 persons,Persons in private households,2019,18.7
417,Kongsvinger (-2019),4 persons,Private households,2019,9.4
418,Kongsvinger (-2019),5 persons or more,Persons in private households,2019,10.3
419,Kongsvinger (-2019),5 persons or more,Private households,2019,3.9
420,Hamar (1992-2019),1 person,Persons in private households,2019,21.1
421,Hamar (1992-2019),1 person,Private households,2019,42.6
422,Hamar (1992-2019),2 persons,Persons in private households,2019,32.2
423,Hamar (1992-2019),2 persons,Private households,2019,32.5
424,Hamar (1992-2019),3 persons,Persons in private households,2019,15.7
425,Hamar (1992-2019),3 persons,Private households,2019,10.6
426,Hamar (1992-2019),4 persons,Persons in private households,2019,20.3
427,Hamar (1992-2019),4 persons,Private households,2019,10.2
428,Hamar (1992-2019),5 persons or more,Persons in private households,2019,10.7
429,Hamar (1992-2019),5 persons or more,Private households,2019,4.1
430,Ringsaker (-2019),1 person,Persons in private households,2019,16.0
431,Ringsaker (-2019),1 person,Private households,2019,35.0
432,Ringsaker (-2019),2 persons,Persons in private households,2019,31.9
433,Ringsaker (-2019),2 persons,Private households,2019,34.8
434,Ringsaker (-2019),3 persons,Persons in private households,2019,17.7
435,Ringsaker (-2019),3 persons,Private households,2019,12.9
436,Ringsaker (-2019),4 persons,Persons in private households,2019,22.6
437,Ringsaker (-2019),4 persons,Private households,2019,12.3
438,Ringsaker (-2019),5 persons or more,Persons in private households,2019,11.8
439,Ringsaker (-2019),5 persons or more,Private households,2019,4.9
440,Løten (-2019),1 person,Persons in private households,2019,16.0
441,Løten (-2019),1 person,Private households,2019,34.8
442,Løten (-2019),2 persons,Persons in private households,2019,33.0
443,Løten (-2019),2 persons,Private households,2019,36.0
444,Løten (-2019),3 persons,Persons in private households,2019,17.2
445,Løten (-2019),3 persons,Private households,2019,12.5
446,Løten (-2019),4 persons,Persons in private households,2019,21.4
447,Løten (-2019),4 persons,Private households,2019,11.7
448,Løten (-2019),5 persons or more,Persons in private households,2019,12.4
449,Løten (-2019),5 persons or more,Private households,2019,5.0
450,Stange (-2019),1 person,Persons in private households,2019,16.5
451,Stange (-2019),1 person,Private households,2019,35.9
452,Stange (-2019),2 persons,Persons in private households,2019,31.7
453,Stange (-2019),2 persons,Private households,2019,34.5
454,Stange (-2019),3 persons,Persons in private households,2019,16.9
455,Stange (-2019),3 persons,Private households,2019,12.2
456,Stange (-2019),4 persons,Persons in private households,2019,22.9
457,Stange (-2019),4 persons,Private households,2019,12.4
458,Stange (-2019),5 persons or more,Persons in private households,2019,12.1
459,Stange (-2019),5 persons or more,Private households,2019,5.0
460,Nord-Odal (-2019),1 person,Persons in private households,2019,18.9
461,Nord-Odal (-2019),1 person,Private households,2019,39.1
462,Nord-Odal (-2019),2 persons,Persons in private households,2019,33.0
463,Nord-Odal (-2019),2 persons,Private households,2019,34.1
464,Nord-Odal (-2019),3 persons,Persons in private households,2019,17.7
465,Nord-Odal (-2019),3 persons,Private households,2019,12.2
466,Nord-Odal (-2019),4 persons,Persons in private households,2019,21.6
467,Nord-Odal (-2019),4 persons,Private households,2019,11.2
