,region,age,type of kindergarten,contents,year,value
69,Sarpsborg,Unknown age,Municipal,Children,2019,0
70,Sarpsborg,Unknown age,County authorities/Government,Children,2019,0
71,Sarpsborg,Unknown age,Private,Children,2019,0
72,Fredrikstad,0 years,Municipal,Children,2019,6
73,Fredrikstad,0 years,County authorities/Government,Children,2019,0
74,Fredrikstad,0 years,Private,Children,2019,38
75,Fredrikstad,1 year,Municipal,Children,2019,155
76,Fredrikstad,1 year,County authorities/Government,Children,2019,0
77,Fredrikstad,1 year,Private,Children,2019,357
78,Fredrikstad,2 years,Municipal,Children,2019,251
79,Fredrikstad,2 years,County authorities/Government,Children,2019,0
80,Fredrikstad,2 years,Private,Children,2019,486
81,Fredrikstad,3 years,Municipal,Children,2019,260
82,Fredrikstad,3 years,County authorities/Government,Children,2019,0
83,Fredrikstad,3 years,Private,Children,2019,541
84,Fredrikstad,4 years,Municipal,Children,2019,277
85,Fredrikstad,4 years,County authorities/Government,Children,2019,0
86,Fredrikstad,4 years,Private,Children,2019,554
87,Fredrikstad,5 years,Municipal,Children,2019,315
88,Fredrikstad,5 years,County authorities/Government,Children,2019,0
89,Fredrikstad,5 years,Private,Children,2019,534
90,Fredrikstad,6 years,Municipal,Children,2019,0
91,Fredrikstad,6 years,County authorities/Government,Children,2019,0
92,Fredrikstad,6 years,Private,Children,2019,9
93,Fredrikstad,Unknown age,Municipal,Children,2019,0
94,Fredrikstad,Unknown age,County authorities/Government,Children,2019,0
95,Fredrikstad,Unknown age,Private,Children,2019,0
96,Drammen,0 years,Municipal,Children,2019,17
97,Drammen,0 years,County authorities/Government,Children,2019,0
98,Drammen,0 years,Private,Children,2019,18
99,Drammen,1 year,Municipal,Children,2019,314
100,Drammen,1 year,County authorities/Government,Children,2019,0
101,Drammen,1 year,Private,Children,2019,373
102,Drammen,2 years,Municipal,Children,2019,449
103,Drammen,2 years,County authorities/Government,Children,2019,0
104,Drammen,2 years,Private,Children,2019,557
105,Drammen,3 years,Municipal,Children,2019,498
106,Drammen,3 years,County authorities/Government,Children,2019,0
107,Drammen,3 years,Private,Children,2019,551
108,Drammen,4 years,Municipal,Children,2019,529
109,Drammen,4 years,County authorities/Government,Children,2019,0
110,Drammen,4 years,Private,Children,2019,532
111,Drammen,5 years,Municipal,Children,2019,573
112,Drammen,5 years,County authorities/Government,Children,2019,0
113,Drammen,5 years,Private,Children,2019,543
114,Drammen,6 years,Municipal,Children,2019,4
115,Drammen,6 years,County authorities/Government,Children,2019,0
116,Drammen,6 years,Private,Children,2019,1
117,Drammen,Unknown age,Municipal,Children,2019,0
118,Drammen,Unknown age,County authorities/Government,Children,2019,0
119,Drammen,Unknown age,Private,Children,2019,0
120,Kongsberg,0 years,Municipal,Children,2019,1
121,Kongsberg,0 years,County authorities/Government,Children,2019,0
122,Kongsberg,0 years,Private,Children,2019,13
123,Kongsberg,1 year,Municipal,Children,2019,64
124,Kongsberg,1 year,County authorities/Government,Children,2019,0
125,Kongsberg,1 year,Private,Children,2019,147
126,Kongsberg,2 years,Municipal,Children,2019,68
127,Kongsberg,2 years,County authorities/Government,Children,2019,0
128,Kongsberg,2 years,Private,Children,2019,202
129,Kongsberg,3 years,Municipal,Children,2019,86
130,Kongsberg,3 years,County authorities/Government,Children,2019,0
131,Kongsberg,3 years,Private,Children,2019,194
132,Kongsberg,4 years,Municipal,Children,2019,74
133,Kongsberg,4 years,County authorities/Government,Children,2019,0
134,Kongsberg,4 years,Private,Children,2019,202
135,Kongsberg,5 years,Municipal,Children,2019,75
136,Kongsberg,5 years,County authorities/Government,Children,2019,0
137,Kongsberg,5 years,Private,Children,2019,213
138,Kongsberg,6 years,Municipal,Children,2019,0
139,Kongsberg,6 years,County authorities/Government,Children,2019,0
140,Kongsberg,6 years,Private,Children,2019,1
141,Kongsberg,Unknown age,Municipal,Children,2019,0
142,Kongsberg,Unknown age,County authorities/Government,Children,2019,0
143,Kongsberg,Unknown age,Private,Children,2019,0
144,Ringerike,0 years,Municipal,Children,2019,1
145,Ringerike,0 years,County authorities/Government,Children,2019,0
146,Ringerike,0 years,Private,Children,2019,20
147,Ringerike,1 year,Municipal,Children,2019,75
148,Ringerike,1 year,County authorities/Government,Children,2019,0
149,Ringerike,1 year,Private,Children,2019,125
150,Ringerike,2 years,Municipal,Children,2019,108
151,Ringerike,2 years,County authorities/Government,Children,2019,0
152,Ringerike,2 years,Private,Children,2019,146
153,Ringerike,3 years,Municipal,Children,2019,115
154,Ringerike,3 years,County authorities/Government,Children,2019,0
155,Ringerike,3 years,Private,Children,2019,154
156,Ringerike,4 years,Municipal,Children,2019,139
157,Ringerike,4 years,County authorities/Government,Children,2019,0
158,Ringerike,4 years,Private,Children,2019,140
159,Ringerike,5 years,Municipal,Children,2019,150
160,Ringerike,5 years,County authorities/Government,Children,2019,0
161,Ringerike,5 years,Private,Children,2019,171
162,Ringerike,6 years,Municipal,Children,2019,1
163,Ringerike,6 years,County authorities/Government,Children,2019,0
164,Ringerike,6 years,Private,Children,2019,1
165,Ringerike,Unknown age,Municipal,Children,2019,0
166,Ringerike,Unknown age,County authorities/Government,Children,2019,0
167,Ringerike,Unknown age,Private,Children,2019,0
168,Hvaler,0 years,Municipal,Children,2019,0
169,Hvaler,0 years,County authorities/Government,Children,2019,0
170,Hvaler,0 years,Private,Children,2019,0
171,Hvaler,1 year,Municipal,Children,2019,12
172,Hvaler,1 year,County authorities/Government,Children,2019,0
173,Hvaler,1 year,Private,Children,2019,6
174,Hvaler,2 years,Municipal,Children,2019,22
175,Hvaler,2 years,County authorities/Government,Children,2019,0
176,Hvaler,2 years,Private,Children,2019,10
177,Hvaler,3 years,Municipal,Children,2019,24
178,Hvaler,3 years,County authorities/Government,Children,2019,0
179,Hvaler,3 years,Private,Children,2019,14
180,Hvaler,4 years,Municipal,Children,2019,23
181,Hvaler,4 years,County authorities/Government,Children,2019,0
182,Hvaler,4 years,Private,Children,2019,10
183,Hvaler,5 years,Municipal,Children,2019,27
184,Hvaler,5 years,County authorities/Government,Children,2019,0
185,Hvaler,5 years,Private,Children,2019,8
186,Hvaler,6 years,Municipal,Children,2019,0
187,Hvaler,6 years,County authorities/Government,Children,2019,0
188,Hvaler,6 years,Private,Children,2019,0
189,Hvaler,Unknown age,Municipal,Children,2019,0
190,Hvaler,Unknown age,County authorities/Government,Children,2019,0
191,Hvaler,Unknown age,Private,Children,2019,0
192,Aremark,0 years,Municipal,Children,2019,0
193,Aremark,0 years,County authorities/Government,Children,2019,0
194,Aremark,0 years,Private,Children,2019,0
195,Aremark,1 year,Municipal,Children,2019,7
196,Aremark,1 year,County authorities/Government,Children,2019,0
197,Aremark,1 year,Private,Children,2019,0
198,Aremark,2 years,Municipal,Children,2019,7
199,Aremark,2 years,County authorities/Government,Children,2019,0
200,Aremark,2 years,Private,Children,2019,0
201,Aremark,3 years,Municipal,Children,2019,13
202,Aremark,3 years,County authorities/Government,Children,2019,0
203,Aremark,3 years,Private,Children,2019,0
204,Aremark,4 years,Municipal,Children,2019,9
205,Aremark,4 years,County authorities/Government,Children,2019,0
206,Aremark,4 years,Private,Children,2019,0
207,Aremark,5 years,Municipal,Children,2019,12
208,Aremark,5 years,County authorities/Government,Children,2019,0
209,Aremark,5 years,Private,Children,2019,0
210,Aremark,6 years,Municipal,Children,2019,0
211,Aremark,6 years,County authorities/Government,Children,2019,0
212,Aremark,6 years,Private,Children,2019,0
213,Aremark,Unknown age,Municipal,Children,2019,0
214,Aremark,Unknown age,County authorities/Government,Children,2019,0
215,Aremark,Unknown age,Private,Children,2019,0
216,Marker,0 years,Municipal,Children,2019,0
217,Marker,0 years,County authorities/Government,Children,2019,0
218,Marker,0 years,Private,Children,2019,2
219,Marker,1 year,Municipal,Children,2019,1
220,Marker,1 year,County authorities/Government,Children,2019,0
221,Marker,1 year,Private,Children,2019,10
222,Marker,2 years,Municipal,Children,2019,7
223,Marker,2 years,County authorities/Government,Children,2019,0
224,Marker,2 years,Private,Children,2019,14
225,Marker,3 years,Municipal,Children,2019,9
226,Marker,3 years,County authorities/Government,Children,2019,0
227,Marker,3 years,Private,Children,2019,18
228,Marker,4 years,Municipal,Children,2019,9
229,Marker,4 years,County authorities/Government,Children,2019,0
230,Marker,4 years,Private,Children,2019,26
231,Marker,5 years,Municipal,Children,2019,11
232,Marker,5 years,County authorities/Government,Children,2019,0
233,Marker,5 years,Private,Children,2019,23
234,Marker,6 years,Municipal,Children,2019,0
235,Marker,6 years,County authorities/Government,Children,2019,0
236,Marker,6 years,Private,Children,2019,0
237,Marker,Unknown age,Municipal,Children,2019,0
238,Marker,Unknown age,County authorities/Government,Children,2019,0
239,Marker,Unknown age,Private,Children,2019,0
240,Indre Østfold,0 years,Municipal,Children,2019,6
241,Indre Østfold,0 years,County authorities/Government,Children,2019,0
242,Indre Østfold,0 years,Private,Children,2019,9
243,Indre Østfold,1 year,Municipal,Children,2019,141
244,Indre Østfold,1 year,County authorities/Government,Children,2019,0
245,Indre Østfold,1 year,Private,Children,2019,154
246,Indre Østfold,2 years,Municipal,Children,2019,214
247,Indre Østfold,2 years,County authorities/Government,Children,2019,0
248,Indre Østfold,2 years,Private,Children,2019,193
249,Indre Østfold,3 years,Municipal,Children,2019,252
250,Indre Østfold,3 years,County authorities/Government,Children,2019,0
251,Indre Østfold,3 years,Private,Children,2019,207
252,Indre Østfold,4 years,Municipal,Children,2019,221
253,Indre Østfold,4 years,County authorities/Government,Children,2019,0
254,Indre Østfold,4 years,Private,Children,2019,200
255,Indre Østfold,5 years,Municipal,Children,2019,287
256,Indre Østfold,5 years,County authorities/Government,Children,2019,0
257,Indre Østfold,5 years,Private,Children,2019,232
258,Indre Østfold,6 years,Municipal,Children,2019,2
259,Indre Østfold,6 years,County authorities/Government,Children,2019,0
260,Indre Østfold,6 years,Private,Children,2019,2
261,Indre Østfold,Unknown age,Municipal,Children,2019,0
262,Indre Østfold,Unknown age,County authorities/Government,Children,2019,0
263,Indre Østfold,Unknown age,Private,Children,2019,0
264,Skiptvet,0 years,Municipal,Children,2019,1
265,Skiptvet,0 years,County authorities/Government,Children,2019,0
266,Skiptvet,0 years,Private,Children,2019,0
267,Skiptvet,1 year,Municipal,Children,2019,18
268,Skiptvet,1 year,County authorities/Government,Children,2019,0
269,Skiptvet,1 year,Private,Children,2019,8
270,Skiptvet,2 years,Municipal,Children,2019,32
271,Skiptvet,2 years,County authorities/Government,Children,2019,0
272,Skiptvet,2 years,Private,Children,2019,6
273,Skiptvet,3 years,Municipal,Children,2019,25
274,Skiptvet,3 years,County authorities/Government,Children,2019,0
275,Skiptvet,3 years,Private,Children,2019,11
276,Skiptvet,4 years,Municipal,Children,2019,36
277,Skiptvet,4 years,County authorities/Government,Children,2019,0
278,Skiptvet,4 years,Private,Children,2019,5
279,Skiptvet,5 years,Municipal,Children,2019,33
280,Skiptvet,5 years,County authorities/Government,Children,2019,0
281,Skiptvet,5 years,Private,Children,2019,11
282,Skiptvet,6 years,Municipal,Children,2019,0
283,Skiptvet,6 years,County authorities/Government,Children,2019,0
284,Skiptvet,6 years,Private,Children,2019,1
285,Skiptvet,Unknown age,Municipal,Children,2019,0
286,Skiptvet,Unknown age,County authorities/Government,Children,2019,0
287,Skiptvet,Unknown age,Private,Children,2019,0
288,Rakkestad,0 years,Municipal,Children,2019,0
289,Rakkestad,0 years,County authorities/Government,Children,2019,0
290,Rakkestad,0 years,Private,Children,2019,0
291,Rakkestad,1 year,Municipal,Children,2019,38
292,Rakkestad,1 year,County authorities/Government,Children,2019,0
293,Rakkestad,1 year,Private,Children,2019,13
294,Rakkestad,2 years,Municipal,Children,2019,49
295,Rakkestad,2 years,County authorities/Government,Children,2019,0
296,Rakkestad,2 years,Private,Children,2019,29
297,Rakkestad,3 years,Municipal,Children,2019,58
298,Rakkestad,3 years,County authorities/Government,Children,2019,0
299,Rakkestad,3 years,Private,Children,2019,32
300,Rakkestad,4 years,Municipal,Children,2019,50
301,Rakkestad,4 years,County authorities/Government,Children,2019,0
302,Rakkestad,4 years,Private,Children,2019,26
303,Rakkestad,5 years,Municipal,Children,2019,62
304,Rakkestad,5 years,County authorities/Government,Children,2019,0
305,Rakkestad,5 years,Private,Children,2019,29
306,Rakkestad,6 years,Municipal,Children,2019,0
307,Rakkestad,6 years,County authorities/Government,Children,2019,0
308,Rakkestad,6 years,Private,Children,2019,0
309,Rakkestad,Unknown age,Municipal,Children,2019,0
310,Rakkestad,Unknown age,County authorities/Government,Children,2019,0
311,Rakkestad,Unknown age,Private,Children,2019,0
312,Råde,0 years,Municipal,Children,2019,1
313,Råde,0 years,County authorities/Government,Children,2019,0
314,Råde,0 years,Private,Children,2019,5
315,Råde,1 year,Municipal,Children,2019,15
316,Råde,1 year,County authorities/Government,Children,2019,0
317,Råde,1 year,Private,Children,2019,32
318,Råde,2 years,Municipal,Children,2019,26
319,Råde,2 years,County authorities/Government,Children,2019,0
320,Råde,2 years,Private,Children,2019,50
321,Råde,3 years,Municipal,Children,2019,25
322,Råde,3 years,County authorities/Government,Children,2019,0
323,Råde,3 years,Private,Children,2019,59
324,Råde,4 years,Municipal,Children,2019,33
325,Råde,4 years,County authorities/Government,Children,2019,0
326,Råde,4 years,Private,Children,2019,51
327,Råde,5 years,Municipal,Children,2019,28
328,Råde,5 years,County authorities/Government,Children,2019,0
329,Råde,5 years,Private,Children,2019,53
330,Råde,6 years,Municipal,Children,2019,0
331,Råde,6 years,County authorities/Government,Children,2019,0
332,Råde,6 years,Private,Children,2019,0
333,Råde,Unknown age,Municipal,Children,2019,0
334,Råde,Unknown age,County authorities/Government,Children,2019,0
335,Råde,Unknown age,Private,Children,2019,0
336,Våler (Østfold),0 years,Municipal,Children,2019,1
337,Våler (Østfold),0 years,County authorities/Government,Children,2019,0
338,Våler (Østfold),0 years,Private,Children,2019,0
339,Våler (Østfold),1 year,Municipal,Children,2019,38
340,Våler (Østfold),1 year,County authorities/Government,Children,2019,0
341,Våler (Østfold),1 year,Private,Children,2019,23
342,Våler (Østfold),2 years,Municipal,Children,2019,49
343,Våler (Østfold),2 years,County authorities/Government,Children,2019,0
344,Våler (Østfold),2 years,Private,Children,2019,27
345,Våler (Østfold),3 years,Municipal,Children,2019,52
346,Våler (Østfold),3 years,County authorities/Government,Children,2019,0
347,Våler (Østfold),3 years,Private,Children,2019,24
348,Våler (Østfold),4 years,Municipal,Children,2019,42
349,Våler (Østfold),4 years,County authorities/Government,Children,2019,0
350,Våler (Østfold),4 years,Private,Children,2019,29
351,Våler (Østfold),5 years,Municipal,Children,2019,50
352,Våler (Østfold),5 years,County authorities/Government,Children,2019,0
353,Våler (Østfold),5 years,Private,Children,2019,24
354,Våler (Østfold),6 years,Municipal,Children,2019,0
355,Våler (Østfold),6 years,County authorities/Government,Children,2019,0
356,Våler (Østfold),6 years,Private,Children,2019,0
357,Våler (Østfold),Unknown age,Municipal,Children,2019,0
358,Våler (Østfold),Unknown age,County authorities/Government,Children,2019,0
359,Våler (Østfold),Unknown age,Private,Children,2019,0
360,Vestby,0 years,Municipal,Children,2019,1
361,Vestby,0 years,County authorities/Government,Children,2019,0
362,Vestby,0 years,Private,Children,2019,3
363,Vestby,1 year,Municipal,Children,2019,82
364,Vestby,1 year,County authorities/Government,Children,2019,0
365,Vestby,1 year,Private,Children,2019,97
366,Vestby,2 years,Municipal,Children,2019,84
367,Vestby,2 years,County authorities/Government,Children,2019,0
368,Vestby,2 years,Private,Children,2019,91
369,Vestby,3 years,Municipal,Children,2019,139
370,Vestby,3 years,County authorities/Government,Children,2019,0
371,Vestby,3 years,Private,Children,2019,114
372,Vestby,4 years,Municipal,Children,2019,124
373,Vestby,4 years,County authorities/Government,Children,2019,0
374,Vestby,4 years,Private,Children,2019,97
375,Vestby,5 years,Municipal,Children,2019,126
376,Vestby,5 years,County authorities/Government,Children,2019,0
377,Vestby,5 years,Private,Children,2019,139
378,Vestby,6 years,Municipal,Children,2019,0
379,Vestby,6 years,County authorities/Government,Children,2019,0
380,Vestby,6 years,Private,Children,2019,2
381,Vestby,Unknown age,Municipal,Children,2019,0
382,Vestby,Unknown age,County authorities/Government,Children,2019,0
383,Vestby,Unknown age,Private,Children,2019,0
384,Nordre Follo,0 years,Municipal,Children,2019,14
385,Nordre Follo,0 years,County authorities/Government,Children,2019,0
386,Nordre Follo,0 years,Private,Children,2019,5
387,Nordre Follo,1 year,Municipal,Children,2019,382
388,Nordre Follo,1 year,County authorities/Government,Children,2019,0
389,Nordre Follo,1 year,Private,Children,2019,98
390,Nordre Follo,2 years,Municipal,Children,2019,490
391,Nordre Follo,2 years,County authorities/Government,Children,2019,0
392,Nordre Follo,2 years,Private,Children,2019,102
393,Nordre Follo,3 years,Municipal,Children,2019,558
394,Nordre Follo,3 years,County authorities/Government,Children,2019,0
395,Nordre Follo,3 years,Private,Children,2019,120
396,Nordre Follo,4 years,Municipal,Children,2019,597
397,Nordre Follo,4 years,County authorities/Government,Children,2019,0
398,Nordre Follo,4 years,Private,Children,2019,151
399,Nordre Follo,5 years,Municipal,Children,2019,598
400,Nordre Follo,5 years,County authorities/Government,Children,2019,0
401,Nordre Follo,5 years,Private,Children,2019,131
402,Nordre Follo,6 years,Municipal,Children,2019,3
403,Nordre Follo,6 years,County authorities/Government,Children,2019,0
404,Nordre Follo,6 years,Private,Children,2019,0
405,Nordre Follo,Unknown age,Municipal,Children,2019,0
406,Nordre Follo,Unknown age,County authorities/Government,Children,2019,0
407,Nordre Follo,Unknown age,Private,Children,2019,0
408,Ås,0 years,Municipal,Children,2019,1
409,Ås,0 years,County authorities/Government,Children,2019,0
410,Ås,0 years,Private,Children,2019,8
411,Ås,1 year,Municipal,Children,2019,62
412,Ås,1 year,County authorities/Government,Children,2019,0
413,Ås,1 year,Private,Children,2019,75
414,Ås,2 years,Municipal,Children,2019,121
415,Ås,2 years,County authorities/Government,Children,2019,0
416,Ås,2 years,Private,Children,2019,108
417,Ås,3 years,Municipal,Children,2019,114
418,Ås,3 years,County authorities/Government,Children,2019,0
419,Ås,3 years,Private,Children,2019,108
420,Ås,4 years,Municipal,Children,2019,122
421,Ås,4 years,County authorities/Government,Children,2019,0
422,Ås,4 years,Private,Children,2019,106
423,Ås,5 years,Municipal,Children,2019,136
424,Ås,5 years,County authorities/Government,Children,2019,0
425,Ås,5 years,Private,Children,2019,117
426,Ås,6 years,Municipal,Children,2019,0
427,Ås,6 years,County authorities/Government,Children,2019,0
428,Ås,6 years,Private,Children,2019,2
429,Ås,Unknown age,Municipal,Children,2019,0
430,Ås,Unknown age,County authorities/Government,Children,2019,0
431,Ås,Unknown age,Private,Children,2019,0
432,Frogn,0 years,Municipal,Children,2019,1
433,Frogn,0 years,County authorities/Government,Children,2019,0
434,Frogn,0 years,Private,Children,2019,5
435,Frogn,1 year,Municipal,Children,2019,40
436,Frogn,1 year,County authorities/Government,Children,2019,0
437,Frogn,1 year,Private,Children,2019,50
438,Frogn,2 years,Municipal,Children,2019,64
439,Frogn,2 years,County authorities/Government,Children,2019,0
440,Frogn,2 years,Private,Children,2019,53
441,Frogn,3 years,Municipal,Children,2019,70
442,Frogn,3 years,County authorities/Government,Children,2019,0
443,Frogn,3 years,Private,Children,2019,60
444,Frogn,4 years,Municipal,Children,2019,78
445,Frogn,4 years,County authorities/Government,Children,2019,0
446,Frogn,4 years,Private,Children,2019,52
447,Frogn,5 years,Municipal,Children,2019,88
448,Frogn,5 years,County authorities/Government,Children,2019,0
449,Frogn,5 years,Private,Children,2019,60
450,Frogn,6 years,Municipal,Children,2019,0
451,Frogn,6 years,County authorities/Government,Children,2019,0
452,Frogn,6 years,Private,Children,2019,0
453,Frogn,Unknown age,Municipal,Children,2019,0
454,Frogn,Unknown age,County authorities/Government,Children,2019,0
455,Frogn,Unknown age,Private,Children,2019,0
456,Nesodden,0 years,Municipal,Children,2019,1
457,Nesodden,0 years,County authorities/Government,Children,2019,0
458,Nesodden,0 years,Private,Children,2019,2
459,Nesodden,1 year,Municipal,Children,2019,103
460,Nesodden,1 year,County authorities/Government,Children,2019,0
461,Nesodden,1 year,Private,Children,2019,68
462,Nesodden,2 years,Municipal,Children,2019,105
463,Nesodden,2 years,County authorities/Government,Children,2019,0
464,Nesodden,2 years,Private,Children,2019,77
465,Nesodden,3 years,Municipal,Children,2019,159
466,Nesodden,3 years,County authorities/Government,Children,2019,0
467,Nesodden,3 years,Private,Children,2019,93
468,Nesodden,4 years,Municipal,Children,2019,166
469,Nesodden,4 years,County authorities/Government,Children,2019,0
470,Nesodden,4 years,Private,Children,2019,112
471,Nesodden,5 years,Municipal,Children,2019,150
472,Nesodden,5 years,County authorities/Government,Children,2019,0
473,Nesodden,5 years,Private,Children,2019,90
474,Nesodden,6 years,Municipal,Children,2019,4
475,Nesodden,6 years,County authorities/Government,Children,2019,0
476,Nesodden,6 years,Private,Children,2019,0
477,Nesodden,Unknown age,Municipal,Children,2019,0
478,Nesodden,Unknown age,County authorities/Government,Children,2019,0
479,Nesodden,Unknown age,Private,Children,2019,0
480,Bærum,0 years,Municipal,Children,2019,4
481,Bærum,0 years,County authorities/Government,Children,2019,0
482,Bærum,0 years,Private,Children,2019,62
483,Bærum,1 year,Municipal,Children,2019,463
484,Bærum,1 year,County authorities/Government,Children,2019,0
485,Bærum,1 year,Private,Children,2019,752
486,Bærum,2 years,Municipal,Children,2019,594
487,Bærum,2 years,County authorities/Government,Children,2019,0
488,Bærum,2 years,Private,Children,2019,886
489,Bærum,3 years,Municipal,Children,2019,734
490,Bærum,3 years,County authorities/Government,Children,2019,0
491,Bærum,3 years,Private,Children,2019,876
492,Bærum,4 years,Municipal,Children,2019,794
493,Bærum,4 years,County authorities/Government,Children,2019,0
494,Bærum,4 years,Private,Children,2019,873
495,Bærum,5 years,Municipal,Children,2019,697
496,Bærum,5 years,County authorities/Government,Children,2019,0
497,Bærum,5 years,Private,Children,2019,878
498,Bærum,6 years,Municipal,Children,2019,3
499,Bærum,6 years,County authorities/Government,Children,2019,0
500,Bærum,6 years,Private,Children,2019,3
501,Bærum,Unknown age,Municipal,Children,2019,0
502,Bærum,Unknown age,County authorities/Government,Children,2019,0
503,Bærum,Unknown age,Private,Children,2019,0
504,Asker,0 years,Municipal,Children,2019,3
505,Asker,0 years,County authorities/Government,Children,2019,0
506,Asker,0 years,Private,Children,2019,15
507,Asker,1 year,Municipal,Children,2019,244
508,Asker,1 year,County authorities/Government,Children,2019,0
509,Asker,1 year,Private,Children,2019,505
510,Asker,2 years,Municipal,Children,2019,368
511,Asker,2 years,County authorities/Government,Children,2019,0
512,Asker,2 years,Private,Children,2019,599
513,Asker,3 years,Municipal,Children,2019,389
514,Asker,3 years,County authorities/Government,Children,2019,0
515,Asker,3 years,Private,Children,2019,681
516,Asker,4 years,Municipal,Children,2019,397
517,Asker,4 years,County authorities/Government,Children,2019,0
518,Asker,4 years,Private,Children,2019,687
519,Asker,5 years,Municipal,Children,2019,444
520,Asker,5 years,County authorities/Government,Children,2019,0
521,Asker,5 years,Private,Children,2019,730
522,Asker,6 years,Municipal,Children,2019,11
523,Asker,6 years,County authorities/Government,Children,2019,0
524,Asker,6 years,Private,Children,2019,1
525,Asker,Unknown age,Municipal,Children,2019,0
526,Asker,Unknown age,County authorities/Government,Children,2019,0
527,Asker,Unknown age,Private,Children,2019,0
528,Aurskog-Høland,0 years,Municipal,Children,2019,9
529,Aurskog-Høland,0 years,County authorities/Government,Children,2019,0
530,Aurskog-Høland,0 years,Private,Children,2019,15
531,Aurskog-Høland,1 year,Municipal,Children,2019,68
532,Aurskog-Høland,1 year,County authorities/Government,Children,2019,1
533,Aurskog-Høland,1 year,Private,Children,2019,42
534,Aurskog-Høland,2 years,Municipal,Children,2019,81
535,Aurskog-Høland,2 years,County authorities/Government,Children,2019,6
536,Aurskog-Høland,2 years,Private,Children,2019,75
537,Aurskog-Høland,3 years,Municipal,Children,2019,111
538,Aurskog-Høland,3 years,County authorities/Government,Children,2019,3
539,Aurskog-Høland,3 years,Private,Children,2019,78
540,Aurskog-Høland,4 years,Municipal,Children,2019,99
541,Aurskog-Høland,4 years,County authorities/Government,Children,2019,3
542,Aurskog-Høland,4 years,Private,Children,2019,70
543,Aurskog-Høland,5 years,Municipal,Children,2019,110
544,Aurskog-Høland,5 years,County authorities/Government,Children,2019,4
