,NSRId,OrgNr,Navn,Karakteristikk,FulltNavn,KommuneNavn,Epost,ErAktiv,ErSkole,ErSkoleEier,ErGrunnSkole,ErPrivatSkole,ErOffentligSkole,ErVideregaaendeSkole,VisesPaaWeb,KommuneNr,FylkeNr,EndretDato
14,1001188,987546433,Oslo kommune Kultur- og Idrettsetaten,,Oslo kommune Kultur- og Idrettsetaten ,Oslo,,False,False,False,False,False,False,False,True,0301,03,2019-08-14T04:35:09.233
15,1001187,987478535,Pedagogisk-Psykologisk Tjeneste for Valdres,,Pedagogisk-Psykologisk Tjeneste for Valdres ,Nord-Aurdal,,False,False,False,False,False,False,False,True,0542,05,2019-08-14T04:35:09.817
16,1001042,983099548,Olav Lysne Evu,,Olav Lysne Evu ,Bærum,olav.lysne@ifi.uio.no,False,False,False,False,False,False,False,True,0219,02,2019-08-14T04:35:20.563
17,1012324,979931603,Nordreisa kommune Utviklingsavdelingen,,Nordreisa kommune Utviklingsavdelingen ,Nordreisa,postmottak@nordreisa.kommune.no,False,False,False,False,False,False,False,True,1942,19,2019-08-14T04:35:29.033
18,1026303,975355454,Christian Aamodt,,Christian Aamodt ,Oslo,,False,False,False,False,False,False,False,True,0301,03,2019-08-14T04:35:43.36
19,1000715,974776170,Sula kommune Kultur- Næring og Miljøsektor,,Sula kommune Kultur- Næring og Miljøsektor ,Sula,,False,False,False,False,False,False,False,True,1531,15,2019-08-14T04:36:15.143
20,1000701,974773740,Bokn kommune Kulturadministrasjon,,Bokn kommune Kulturadministrasjon ,Bokn,jhavikbotn@bokn.kommune.no,True,False,False,False,False,False,False,True,1145,11,2019-08-14T04:36:15.813
21,1000699,974773414,Gjesdal kommune Kulturadministrasjon,,Gjesdal kommune Kulturadministrasjon ,Gjesdal,postmottak@gjesdal.kommune.no,False,False,False,False,False,False,False,True,1122,11,2019-08-14T04:36:16.013
22,1000695,974772671,Fredrikstad kommune Kultur- og Næringsseksjonen,,Fredrikstad kommune Kultur- og Næringsseksjonen ,Fredrikstad,,False,False,False,False,False,False,False,True,0106,01,2019-08-14T04:36:16.103
23,1000495,974641577,Valle kommune Kulturadministrasjon,,Valle kommune Kulturadministrasjon ,Valle,,False,False,False,False,False,False,False,True,0940,09,2019-08-14T04:36:22.743
24,1000492,974640856,Nome kommune Kulturadministrasjon,,Nome kommune Kulturadministrasjon ,Nome,,False,False,False,False,False,False,False,True,0819,08,2019-08-14T04:36:22.933
25,1000485,974640007,Lier kommune Sektor for Kultur og Barnehager,,Lier kommune Sektor for Kultur og Barnehager ,Lier,,False,False,False,False,False,False,False,True,0626,06,2019-08-14T04:36:23.373
26,1000044,874641332,Tvedestrand kommune Kultur- og Miljøavdeling,,Tvedestrand kommune Kultur- og Miljøavdeling ,Tvedestrand,,False,False,False,False,False,False,False,True,0914,09,2019-08-14T04:37:40.573
27,1022870,980313719,Småkryp Pedagogiske Tjenester AS,,Småkryp Pedagogiske Tjenester AS ,Oslo,,False,False,False,False,False,False,False,True,0301,03,2019-08-14T04:38:08.367
28,1026297,979261152,Roar Kristensen,,Roar Kristensen ,Oslo,,False,False,False,False,False,False,False,True,0301,03,2019-08-14T04:38:10.17
29,1000908,976634942,Lier kommune Sektor for Helse og Sosial,,Lier kommune Sektor for Helse og Sosial ,Lier,,False,False,False,False,False,False,False,True,0626,06,2019-08-14T04:38:19.563
30,1000852,974793156,Alta kommune Kultursektor,,Alta kommune Kultursektor ,Alta,,False,False,False,False,False,False,False,True,2012,20,2019-08-14T04:38:47.223
31,1000759,974781735,Sogndal kommune Sentraladministrasjon,,Sogndal kommune Sentraladministrasjon ,Sogndal,,False,False,False,False,False,False,False,True,1420,14,2019-08-14T04:38:48.12
32,1000757,974781026,Rådmann,,Rådmann ,Kvinesdal,post@kvinesdal.kommune.no,False,False,False,False,False,False,False,True,1037,10,2019-08-14T04:38:48.19
33,1027698,974777754,Levanger kommune Enhet Kultur,,Levanger kommune Enhet Kultur ,Levanger,,False,False,False,False,False,False,False,True,5037,50,2019-08-14T04:38:49.45
34,1027093,918905812,Øyer kommune Sektor Kultur og Fritid,,Øyer kommune Sektor Kultur og Fritid ,Øyer,,False,False,False,False,False,False,False,True,0521,05,2019-08-14T04:39:46.003
35,1027092,918905766,Øyer kommune Sektor Oppvekst,,Øyer kommune Sektor Oppvekst ,Øyer,,False,False,False,False,False,False,False,True,0521,05,2019-08-14T04:39:46.083
36,1000120,888998942,Ringerike kommune Nedre Årdal Oppvekstområde,,Ringerike kommune Nedre Årdal Oppvekstområde ,Ringerike,,False,False,False,False,False,False,False,True,0605,06,2019-08-14T04:40:11.26
37,1001261,993785091,Pedagogisk-Psykologisk Tjeneste for Notodden og Hjartdal,,Pedagogisk-Psykologisk Tjeneste for Notodden og Hjartdal ,Notodden,,False,False,False,False,False,False,False,True,0807,08,2019-08-14T04:40:44.303
38,1001260,993729299,Hareid kommune Område Ressurssente,,Hareid kommune Område Ressurssente ,Hareid,postmottak@hareid.kommune.no,False,False,False,False,False,False,False,True,1517,15,2019-08-14T04:40:44.573
39,1001244,989968645,Pedagogisk-Psykologisk Rådgivningskontor,,Pedagogisk-Psykologisk Rådgivningskontor ,Modum,,False,False,False,False,False,False,False,True,0623,06,2019-08-14T04:40:54.56
40,1001233,988768871,Pp-Tjensten i Sør Fosen,,Pp-Tjensten i Sør Fosen ,Hitra,,False,False,False,False,False,False,False,True,1617,16,2019-08-14T04:40:59.48
41,1001111,985650667,Skien kommune Kulturavdeling,,Skien kommune Kulturavdeling ,Skien,,False,False,False,False,False,False,False,True,0806,08,2019-08-14T04:41:09.343
42,1001069,984385110,Hjelmeland kommune avd Bygdeutvikling,,Hjelmeland kommune avd Bygdeutvikling ,Hjelmeland,,False,False,False,False,False,False,False,True,1133,11,2019-08-14T04:41:11.773
43,1000981,979646135,Ppt for Nordhordland,,Ppt for Nordhordland ,Lindås,nhordl@start.no,False,False,False,False,False,False,False,True,1263,12,2019-08-14T04:41:24.253
44,1000117,887936242,Pedagogisk-Psykologisk Tjeneste Tydal og Selbu,,Pedagogisk-Psykologisk Tjeneste Tydal og Selbu ,Tydal,,False,False,False,False,False,False,False,True,1665,16,2019-08-14T04:42:54.483
45,1011784,993525464,Herøy kommune Bu- og Habiliteringsavdelinga,,Herøy kommune Bu- og Habiliteringsavdelinga ,Herøy,,False,False,False,False,False,False,False,True,1515,15,2019-08-14T04:43:25.617
46,1001258,993230782,Søndre Land kommune Barn og Familie,,Søndre Land kommune Barn og Familie ,Søndre Land,,False,False,False,False,False,False,False,True,0536,05,2019-08-14T04:43:27.277
47,1001257,993107204,Risør kommune Kvalifisering,,Risør kommune Kvalifisering ,Risør,,False,False,False,False,False,False,False,True,0901,09,2019-08-14T04:43:28.117
48,1001252,992094516,Pedagogisk-Psykologisk Rådgivnings Kontor,,Pedagogisk-Psykologisk Rådgivnings Kontor ,Flekkefjord,,False,False,False,False,False,False,False,True,1004,10,2019-08-14T04:43:30.99
49,1001249,990959013,Kirkelig Utdanningssenter i Nord,,Kirkelig Utdanningssenter i Nord ,Tromsø,kun@kun.no,False,False,False,False,False,False,False,True,1902,19,2019-08-14T04:43:34.56
50,1001243,989274104,Oslo kommune Storbyavdelingen,,Oslo kommune Storbyavdelingen ,Oslo,,False,False,False,False,False,False,False,True,0301,03,2019-08-14T04:43:42.687
51,1001218,988066036,Tvedestrand kommune Oppvekstavd,,Tvedestrand kommune Oppvekstavd ,Tvedestrand,,False,False,False,False,False,False,False,True,0914,09,2019-08-14T04:43:47.28
52,1001083,984764391,Konsulentfirma J O Evjen,,Konsulentfirma J O Evjen ,Bergen,jan.otto.evjen@broadpark.no,False,False,False,False,False,False,False,True,1201,12,2019-08-14T04:44:02.303
53,1011911,974791536,Meløy kommune Kulturenheten,,Meløy kommune Kulturenheten ,Meløy,,False,False,False,False,False,False,False,True,1837,18,2019-08-14T04:44:41.507
54,1000845,974791412,Rana kommune Kulturadministrasjon,,Rana kommune Kulturadministrasjon ,Rana,,False,False,False,False,False,False,False,True,1833,18,2019-08-14T04:44:41.527
55,1000480,974639602,Ringerike kommune Forebyggende Barn & Unge,,Ringerike kommune Forebyggende Barn & Unge ,Ringerike,,False,False,False,False,False,False,False,True,0605,06,2019-08-14T04:44:46.97
56,1000481,974639610,Ringerike kommune Kultur/kultur skole,,Ringerike kommune Kultur/kultur skole ,Ringerike,,False,False,False,False,False,False,False,True,0605,06,2019-08-14T04:44:46.977
57,1000468,974638118,Eidsvoll kommune Kultur- og Næringsetat,,Eidsvoll kommune Kultur- og Næringsetat ,Eidsvoll,,False,False,False,False,False,False,False,True,0237,02,2019-08-14T04:44:47.347
58,1000469,974638193,Hamar kommune Levekår,,Hamar kommune Levekår ,Hamar,,False,False,False,False,False,False,False,True,0403,04,2019-08-14T04:44:47.347
59,1000467,974638088,Nes kommune Kulturetat,,Nes kommune Kulturetat ,Nes,,False,False,False,False,False,False,False,True,0236,02,2019-08-14T04:44:47.417
60,1028179,974634783,Tolga kommune Skoleadministrasjon,,Tolga kommune Skoleadministrasjon ,Tolga,,False,False,False,False,False,False,False,True,0436,04,2019-08-14T08:00:27.64
61,1001497,936641644,Folkets Brevskole Al,,Folkets Brevskole Al ,Oslo,,False,False,False,False,False,False,False,True,0301,03,2019-08-14T08:00:30.4
62,1000292,971526238,Briskeby Hlf`s skole og Kompetanse- Senter,,Briskeby Hlf`s skole og Kompetanse- Senter ,Lier,briskeby@ks-briskeby.no,False,False,False,False,False,False,False,True,0626,06,2019-08-14T08:00:30.6
63,1000123,913536126,Cesam Media AS,,Cesam Media AS ,Oslo,,False,False,False,False,False,False,False,True,0301,03,2019-08-14T08:00:30.77
64,1000048,874765422,Skodje kommune Oppvekstavdeling,,Skodje kommune Oppvekstavdeling ,Skodje,,False,False,False,False,False,False,False,True,1529,15,2019-08-14T08:00:31.17
65,1028180,974765438,Stordal kommune Oppvekstadministrasjon,,Stordal kommune Oppvekstadministrasjon ,Stordal,,False,False,False,False,False,False,False,True,1526,15,2019-08-14T08:00:31.427
66,1000212,971033533,Jernbaneverket,,Jernbaneverket ,Oslo,,False,False,False,False,False,False,False,True,0301,03,2019-08-14T08:00:31.89
67,1028181,938726582,Oslo Sanitetsforening,,Oslo Sanitetsforening ,Oslo,oslo.sanitetsforening@osf.no,False,False,False,False,False,False,False,True,0301,03,2019-08-14T08:00:32.317
68,1000186,970193731,Frikirkens Studiesenter,,Frikirkens Studiesenter ,Oslo,,False,False,True,False,False,False,False,True,0301,03,2019-08-14T08:00:33.17
69,1028182,874789852,Balsfjord kommune Kultur- og Oppvekstadministrasjon,,Balsfjord kommune Kultur- og Oppvekstadministrasjon ,Balsfjord,,False,False,False,False,False,False,False,True,1933,19,2019-08-14T08:00:33.827
70,1028183,974789868,Lenvik kommune Skoleadministrasjon,,Lenvik kommune Skoleadministrasjon ,Lenvik,,False,False,False,False,False,False,False,True,1931,19,2019-08-14T08:00:34.037
71,1000779,974789884,Torsken kommune Oppvekstetat,,Torsken kommune Oppvekstetat ,Torsken,,False,False,False,False,False,False,False,True,1928,19,2019-08-14T08:00:34.25
72,1000780,974789892,Tranøy kommune Skole- og Kulturadministrasjon,,Tranøy kommune Skole- og Kulturadministrasjon ,Tranøy,,False,False,False,False,False,False,False,True,1927,19,2019-08-14T08:00:34.41
73,1000783,974789922,Målselv kommune Levekårsetaten,,Målselv kommune Levekårsetaten ,Målselv,,False,False,False,False,False,False,False,True,1924,19,2019-08-14T08:00:34.657
74,1028184,974789930,Bardu kommune Skoleadministrasjon,,Bardu kommune Skoleadministrasjon ,Bardu,,False,False,False,False,False,False,False,True,1922,19,2019-08-14T08:00:34.797
75,1000787,974789973,Bjarkøy kommune Oppvekst og Kultur,,Bjarkøy kommune Oppvekst og Kultur ,Bjarkøy,,False,False,False,False,False,False,False,True,1915,19,2019-08-14T08:00:35.157
76,1000788,974790009,Tromsø kommune Oppvekst,,Tromsø kommune Oppvekst ,Tromsø,,False,False,False,False,False,False,False,True,1902,19,2019-08-14T08:00:35.38
77,1000340,974635038,Svelvik kommune Skoleadministrasjon,,Svelvik kommune Skoleadministrasjon ,Svelvik,,False,False,False,False,False,False,False,True,0711,07,2019-08-14T08:00:35.627
78,1028185,974635054,Hof kommune Skoleadministrasjon,,Hof kommune Skoleadministrasjon ,Hof,,False,False,False,False,False,False,False,True,0714,07,2019-08-14T08:00:35.847
79,1000344,974635070,Horten kommune Oppvekstetaten,,Horten kommune Oppvekstetaten ,Horten,,False,False,False,False,False,False,False,True,0701,07,2019-08-14T08:00:36.077
80,1000345,974635097,Andebu kommune Skole- og Barnehageadministrasjon,,Andebu kommune Skole- og Barnehageadministrasjon ,Andebu,,False,False,False,False,False,False,False,True,0719,07,2019-08-14T08:00:36.207
81,1028186,974635100,Stokke kommune Undervisningsetaten,,Stokke kommune Undervisningsetaten ,Stokke,,False,False,False,False,False,False,False,True,0720,07,2019-08-14T08:00:36.53
82,1028187,974635135,Lardal kommune Oppvekst og Kultur Avdeling,,Lardal kommune Oppvekst og Kultur Avdeling ,Lardal,,False,False,False,False,False,False,False,True,0728,07,2019-08-14T08:00:36.82
83,1000546,974765853,Farsund kommune Oppvekstetaten,,Farsund kommune Oppvekstetaten ,Farsund,,False,False,False,False,False,False,False,True,1003,10,2019-08-14T08:00:37.19
84,1000049,874765872,Vennesla kommune Fagenhet for Undervisning,,Vennesla kommune Fagenhet for Undervisning ,Vennesla,,False,False,False,False,False,False,False,True,1014,10,2019-08-14T08:00:37.557
85,1000548,974765888,Songdalen kommune Kultur- og Oppvekstseksjonen,,Songdalen kommune Kultur- og Oppvekstseksjonen ,Songdalen,,False,False,False,False,False,False,False,True,1017,10,2019-08-14T08:00:37.717
86,1028188,974765896,Søgne kommune Skoleadministrasjon,,Søgne kommune Skoleadministrasjon ,Søgne,,False,False,False,False,False,False,False,True,1018,10,2019-08-14T08:00:37.887
87,1000553,974765942,Lyngdal kommune Undervisningsetat,,Lyngdal kommune Undervisningsetat ,Lyngdal,,False,False,False,False,False,False,False,True,1032,10,2019-08-14T08:00:38.3
88,1028189,974765950,Hægebostad kommune Skule- og Kulturadministrasjon,,Hægebostad kommune Skule- og Kulturadministrasjon ,Hægebostad,,False,False,False,False,False,False,False,True,1034,10,2019-08-14T08:00:38.507
89,1000555,974765969,Kvinesdal kommune Oppvekstetaten,,Kvinesdal kommune Oppvekstetaten ,Kvinesdal,,False,False,False,False,False,False,False,True,1037,10,2019-08-14T08:00:38.71
90,1000558,974765993,Gulen kommune Skuleadministrasjon,,Gulen kommune Skuleadministrasjon ,Gulen,,False,False,False,False,False,False,False,True,1411,14,2019-08-14T08:00:39.12
91,1028190,974766000,Solund kommune Undervisningsetaten,,Solund kommune Undervisningsetaten ,Solund,,False,False,False,False,False,False,False,True,1412,14,2019-08-14T08:00:39.31
92,1000560,974766019,Hyllestad kommune Skuleadministrasjon,,Hyllestad kommune Skuleadministrasjon ,Hyllestad,,False,False,False,False,False,False,False,True,1413,14,2019-08-14T08:00:39.53
93,1000561,974766027,Høyanger kommune Oppvekstadministrasjon,,Høyanger kommune Oppvekstadministrasjon ,Høyanger,,False,False,False,False,False,False,False,True,1416,14,2019-08-14T08:00:39.65
94,1000562,974766043,Balestrand kommune Oppvekst og Omsorg,,Balestrand kommune Oppvekst og Omsorg ,Balestrand,,False,False,False,False,False,False,False,True,1418,14,2019-08-14T08:00:39.78
95,1000051,874766062,Sogndal kommune Sektor for Oppvekst,,Sogndal kommune Sektor for Oppvekst ,Sogndal,,False,False,False,False,False,False,False,True,1420,14,2019-08-14T08:00:40
96,1000564,974766078,Aurland kommune Skuleadministrasjon,,Aurland kommune Skuleadministrasjon ,Aurland,,False,False,False,False,False,False,False,True,1421,14,2019-08-14T08:00:40.14
97,1028191,974766140,Overhalla kommune Avdeling Utdanning og Oppvekst,,Overhalla kommune Avdeling Utdanning og Oppvekst ,Overhalla,,False,False,False,False,False,False,False,True,1744,17,2019-08-14T08:00:40.663
98,1028192,974766167,Grong kommune Etat for Oppvekst og Familie,,Grong kommune Etat for Oppvekst og Familie ,Grong,,False,False,False,False,False,False,False,True,1742,17,2019-08-14T08:00:41.013
99,1000577,974766205,Snåsa kommune Oppvekst- og Kulturetat,,Snåsa kommune Oppvekst- og Kulturetat ,Snåase - Snåsa,,False,False,False,False,False,False,False,True,1736,17,2019-08-14T08:00:41.34
100,1000578,974766213,Inderøy kommune Undervisningsavdelingen,,Inderøy kommune Undervisningsavdelingen ,Inderøy,,False,False,False,False,False,False,False,True,1729,17,2019-08-14T08:00:41.45
101,1028193,974766221,Namdalseid kommune Skoleadministrasjon,,Namdalseid kommune Skoleadministrasjon ,Namdalseid,,False,False,False,False,False,False,False,True,1725,17,2019-08-14T08:00:41.57
102,1000580,974766248,Mosvik kommune Skole- og Kulturadministrasjon,,Mosvik kommune Skole- og Kulturadministrasjon ,Mosvik,,False,False,False,False,False,False,False,True,1723,17,2019-08-14T08:00:41.723
103,1000583,974766272,Leksvik kommune Avdeling for Oppvekst og Familie,,Leksvik kommune Avdeling for Oppvekst og Familie ,Leksvik,,False,False,False,False,False,False,False,True,1718,17,2019-08-14T08:00:41.973
104,1028194,974790033,Vadsø kommune Kultur Utdanning og Oppvekst,,Vadsø kommune Kultur Utdanning og Oppvekst ,Vadsø,,False,False,False,False,False,False,False,True,2003,20,2019-08-14T08:00:42.583
105,1028195,974790041,Kautokeino kommune Skoleetaten,,Kautokeino kommune Skoleetaten ,Guovdageaidnu - Kautokeino,,False,False,False,False,False,False,False,True,2011,20,2019-08-14T08:00:42.85
106,1028196,974790173,Nesseby kommune Oppvekst- og Omsorgssektor,,Nesseby kommune Oppvekst- og Omsorgssektor ,Unjárga - Nesseby,,False,False,False,False,False,False,False,True,2027,20,2019-08-14T08:00:43.783
107,1000588,974766329,Fredrikstad kommune Skoleseksjonen,,Fredrikstad kommune Skoleseksjonen ,Fredrikstad,,False,False,False,False,False,False,False,True,0106,01,2019-08-14T08:00:44.16
108,1000353,974635194,Marker kommune Skoleadministrasjon,,Marker kommune Skoleadministrasjon ,Marker,,False,False,False,False,False,False,False,True,0119,01,2019-08-14T08:00:44.47
109,1028197,974635216,Trøgstad kommune Oppvekst- og Kulturadministrasjon,,Trøgstad kommune Oppvekst- og Kulturadministrasjon ,Trøgstad,,False,False,False,False,False,False,False,True,0122,01,2019-08-14T08:00:44.7
110,1028198,974635224,Spydeberg kommune Oppvekst og Kultur,,Spydeberg kommune Oppvekst og Kultur ,Spydeberg,,False,False,False,False,False,False,False,True,0123,01,2019-08-14T08:00:44.943
111,1000361,974635275,Råde kommune Oppvekst- og Kultur,,Råde kommune Oppvekst- og Kultur ,Råde,,False,False,False,False,False,False,False,True,0135,01,2019-08-14T08:00:45.413
112,1000362,974635283,Rygge kommune Skoleadministrasjon,,Rygge kommune Skoleadministrasjon ,Rygge,,False,False,False,False,False,False,False,True,0136,01,2019-08-14T08:00:45.55
113,1028199,974635321,Evje og Hornnes kommune Skole- Og Kulturadministrasjon,,Evje og Hornnes kommune Skole- Og Kulturadministrasjon ,Evje og Hornnes,,False,False,False,False,False,False,False,True,0937,09,2019-08-14T08:00:45.863
114,1000030,874635332,Bygland kommune Skuleadministrasjon,,Bygland kommune Skuleadministrasjon ,Bygland,,False,False,False,False,False,False,False,True,0938,09,2019-08-14T08:00:46.003
115,1028200,974766388,Ølen kommune Sektor Levekår,,Ølen kommune Sektor Levekår ,Ølen,,False,False,False,False,False,False,False,True,1159,11,2019-08-14T08:00:46.263
116,1000594,974766442,Kvinnherad kommune Skule- og Oppvekstadministrasjon,,Kvinnherad kommune Skule- og Oppvekstadministrasjon ,Kvinnherad,,False,False,False,False,False,False,False,True,1224,12,2019-08-14T08:00:46.58
117,1000595,974766450,Jondal kommune Skule- og Kulturadministrasjon,,Jondal kommune Skule- og Kulturadministrasjon ,Jondal,,False,False,False,False,False,False,False,True,1227,12,2019-08-14T08:00:46.7
118,1028201,974766469,Odda kommune Sektor for skole og Kultur,,Odda kommune Sektor for skole og Kultur ,Odda,,False,False,False,False,False,False,False,True,1228,12,2019-08-14T08:00:46.873
119,1028202,974766485,Ulvik kommune Levekår- og Oppvekstetaten,,Ulvik kommune Levekår- og Oppvekstetaten ,Ulvik,,False,False,False,False,False,False,False,True,1233,12,2019-08-14T08:00:47.133
120,1028203,974766493,Granvin kommune Kultur- og Oppvekstetat,,Granvin kommune Kultur- og Oppvekstetat ,Granvin,,False,False,False,False,False,False,False,True,1234,12,2019-08-14T08:00:47.333
121,1000052,874766542,Os kommune Skuleadministrasjon,,Os kommune Skuleadministrasjon ,Os,,False,False,False,False,False,False,False,True,1243,12,2019-08-14T08:00:47.73
122,1028204,974766566,Tustna kommune Opplæring- og Kulturetat,,Tustna kommune Opplæring- og Kulturetat ,Tustna,,False,False,False,False,False,False,False,True,1572,15,2019-08-14T08:00:47.9
123,1000606,974766574,Smøla kommune Oppvekst- og Kulturadministrasjonen,,Smøla kommune Oppvekst- og Kulturadministrasjonen ,Smøla,,False,False,False,False,False,False,False,True,1573,15,2019-08-14T08:00:48.05
124,1000807,974790211,Narvik kommune Område Oppvekst og Undervisning,,Narvik kommune Område Oppvekst og Undervisning ,Narvik,,False,False,False,False,False,False,False,True,1805,18,2019-08-14T08:00:48.203
125,1000808,974790238,Brønnøy kommune Oppvekstsektoren,,Brønnøy kommune Oppvekstsektoren ,Brønnøy,,False,False,False,False,False,False,False,True,1813,18,2019-08-14T08:00:48.38
126,1000809,974790254,Herøy kommune Skoleadministrasjon,,Herøy kommune Skoleadministrasjon ,Herøy,,False,False,False,False,False,False,False,True,1818,18,2019-08-14T08:00:48.49
127,1000811,974790270,Leirfjord kommune Oppvekst- og Kulturadministrasjon,,Leirfjord kommune Oppvekst- og Kulturadministrasjon ,Leirfjord,,False,False,False,False,False,False,False,True,1822,18,2019-08-14T08:00:48.643
128,1000812,974790289,Vefsn kommune Skoleadministrasjon,,Vefsn kommune Skoleadministrasjon ,Vefsn,,False,False,False,False,False,False,False,True,1824,18,2019-08-14T08:00:48.783
129,1028205,974790300,Hattfjelldal kommune Skole- og Kulturetat,,Hattfjelldal kommune Skole- og Kulturetat ,Hattfjelldal,,False,False,False,False,False,False,False,True,1826,18,2019-08-14T08:00:49.013
130,1000815,974790319,Dønna kommune Opplærings-Og Kultur Etaten,,Dønna kommune Opplærings-Og Kultur Etaten ,Dønna,,False,False,False,False,False,False,False,True,1827,18,2019-08-14T08:00:49.16
131,1028206,974790394,Gildeskål kommune Undervisningsetat,,Gildeskål kommune Undervisningsetat ,Gildeskål,,False,False,False,False,False,False,False,True,1838,18,2019-08-14T08:00:49.67
132,1000824,974790424,Fauske kommune Sektor Oppvekst og Fritid,,Fauske kommune Sektor Oppvekst og Fritid ,Fauske - Fuosko,,False,False,False,False,False,False,False,True,1841,18,2019-08-14T08:00:50.083
133,1028207,974790432,Skjerstad kommune Oppvekst- og Kulturetaten,,Skjerstad kommune Oppvekst- og Kulturetaten ,Skjerstad,,False,False,False,False,False,False,False,True,1842,18,2019-08-14T08:00:50.27
134,1000828,974790467,Ballangen kommune Skoleadministrasjon,,Ballangen kommune Skoleadministrasjon ,Ballangen,,False,False,False,False,False,False,False,True,1854,18,2019-08-14T08:00:50.52
135,1000296,971529652,Det Norske Diakonhjem,,Det Norske Diakonhjem ,Oslo,hovedstiftelsen@diakonhjemmet.no,False,False,False,False,False,False,False,True,0301,03,2019-08-14T08:00:51.12
136,1000377,974635461,Aurskog Høland kommune Oppvekst og Kulturetat,,Aurskog Høland kommune Oppvekst og Kulturetat ,Aurskog-Høland,,False,False,False,False,False,False,False,True,0221,02,2019-08-14T08:00:51.803
137,1000384,974635577,Eidsvoll kommune Skole- og Barnehageetaten,,Eidsvoll kommune Skole- og Barnehageetaten ,Eidsvoll,,False,False,False,False,False,False,False,True,0237,02,2019-08-14T08:00:52.793
138,1000386,974635593,Kongsvinger kommune Oppvekstkontoret,,Kongsvinger kommune Oppvekstkontoret ,Kongsvinger,,False,False,False,False,False,False,False,True,0402,04,2019-08-14T08:00:53.253
139,1000387,974635607,Ringsaker kommune Skoleadministrasjon,,Ringsaker kommune Skoleadministrasjon ,Ringsaker,,False,False,False,False,False,False,False,True,0412,04,2019-08-14T08:00:53.42
140,1000390,974635674,Åsnes kommune Skoleadministrasjon,,Åsnes kommune Skoleadministrasjon ,Åsnes,,False,False,False,False,False,False,False,True,0425,04,2019-08-14T08:00:53.663
