,region,sex,age,contents,year,value
61,Trøgstad (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,66.5
62,Trøgstad (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,24.4
63,Spydeberg (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,67.4
64,Spydeberg (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,36.4
65,Spydeberg (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,67.4
66,Spydeberg (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,80.4
67,Spydeberg (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,83.3
68,Spydeberg (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,69.3
69,Spydeberg (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,20.0
70,Askim (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,61.0
71,Askim (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,32.5
72,Askim (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,60.7
73,Askim (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,76.9
74,Askim (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,76.0
75,Askim (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,59.9
76,Askim (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,17.9
77,Eidsberg (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,63.2
78,Eidsberg (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,35.4
79,Eidsberg (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,67.4
80,Eidsberg (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,75.2
81,Eidsberg (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,78.2
82,Eidsberg (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,62.5
83,Eidsberg (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,21.4
84,Skiptvet (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,66.4
85,Skiptvet (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,37.8
86,Skiptvet (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,70.5
87,Skiptvet (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.0
88,Skiptvet (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,81.7
89,Skiptvet (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,64.8
90,Skiptvet (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,23.4
91,Rakkestad (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,64.5
92,Rakkestad (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,38.3
93,Rakkestad (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,65.0
94,Rakkestad (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,80.2
95,Rakkestad (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,77.3
96,Rakkestad (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,65.0
97,Rakkestad (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,25.2
98,Råde (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,64.3
99,Råde (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,31.6
100,Råde (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,64.6
101,Råde (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,77.4
102,Råde (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,81.7
103,Råde (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,65.8
104,Råde (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,20.7
105,Rygge (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,63.4
106,Rygge (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,34.8
107,Rygge (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,62.8
108,Rygge (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,77.7
109,Rygge (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,80.0
110,Rygge (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,62.8
111,Rygge (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,17.4
112,Våler (Østfold) (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,69.7
113,Våler (Østfold) (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.8
114,Våler (Østfold) (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,71.1
115,Våler (Østfold) (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,83.1
116,Våler (Østfold) (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,81.8
117,Våler (Østfold) (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,67.5
118,Våler (Østfold) (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,21.7
119,Hobøl (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,71.0
120,Hobøl (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,39.0
121,Hobøl (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,72.1
122,Hobøl (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,82.0
123,Hobøl (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,82.5
124,Hobøl (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,71.4
125,Hobøl (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,22.6
126,Vestby (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,67.2
127,Vestby (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,35.9
128,Vestby (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,63.4
129,Vestby (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,80.6
130,Vestby (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,84.5
131,Vestby (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,67.9
132,Vestby (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,19.7
133,Ski (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,68.5
134,Ski (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,32.2
135,Ski (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,63.9
136,Ski (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.1
137,Ski (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,85.2
138,Ski (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,71.0
139,Ski (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,16.7
140,Ås (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,67.3
141,Ås (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.5
142,Ås (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,54.2
143,Ås (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,75.8
144,Ås (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,84.7
145,Ås (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,72.6
146,Ås (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,21.2
147,Frogn (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,66.9
148,Frogn (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,35.9
149,Frogn (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,57.0
150,Frogn (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,80.7
151,Frogn (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,84.7
152,Frogn (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,72.9
153,Frogn (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,18.4
154,Nesodden (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,68.3
155,Nesodden (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,28.5
156,Nesodden (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,57.7
157,Nesodden (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,80.0
158,Nesodden (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,86.4
159,Nesodden (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,72.2
160,Nesodden (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,20.9
161,Oppegård (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,68.6
162,Oppegård (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,32.5
163,Oppegård (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,56.8
164,Oppegård (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.4
165,Oppegård (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,88.2
166,Oppegård (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,73.3
167,Oppegård (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,16.7
168,Bærum (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,69.9
169,Bærum (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.0
170,Bærum (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,54.1
171,Bærum (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,80.6
172,Bærum (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,86.8
173,Bærum (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,76.3
174,Bærum (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,21.5
175,Asker (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,69.2
176,Asker (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.7
177,Asker (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,56.3
178,Asker (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,78.5
179,Asker (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,86.6
180,Asker (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,76.1
181,Asker (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,21.6
182,Aurskog-Høland (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,66.3
183,Aurskog-Høland (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.3
184,Aurskog-Høland (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,65.4
185,Aurskog-Høland (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.8
186,Aurskog-Høland (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,81.9
187,Aurskog-Høland (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,65.8
188,Aurskog-Høland (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,19.7
189,Sørum (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,71.4
190,Sørum (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,31.8
191,Sørum (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,67.4
192,Sørum (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,83.4
193,Sørum (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,87.0
194,Sørum (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,71.2
195,Sørum (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,17.3
196,Fet (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,70.6
197,Fet (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,34.4
198,Fet (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,66.0
199,Fet (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.7
200,Fet (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,86.7
201,Fet (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,73.2
202,Fet (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,15.8
203,Rælingen (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,71.3
204,Rælingen (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,30.3
205,Rælingen (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,72.9
206,Rælingen (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,83.8
207,Rælingen (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,86.5
208,Rælingen (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,69.4
209,Rælingen (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,15.6
210,Enebakk (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,67.5
211,Enebakk (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,31.7
212,Enebakk (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,70.1
213,Enebakk (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.4
214,Enebakk (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,82.7
215,Enebakk (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,66.1
216,Enebakk (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,18.3
217,Lørenskog (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,68.4
218,Lørenskog (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,31.1
219,Lørenskog (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,69.1
220,Lørenskog (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,80.9
221,Lørenskog (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,84.9
222,Lørenskog (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,68.5
223,Lørenskog (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,14.7
224,Skedsmo (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,69.0
225,Skedsmo (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.3
226,Skedsmo (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,69.0
227,Skedsmo (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.7
228,Skedsmo (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,83.7
229,Skedsmo (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,68.6
230,Skedsmo (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,14.4
231,Nittedal (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,70.9
232,Nittedal (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,30.7
233,Nittedal (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,63.1
234,Nittedal (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,82.9
235,Nittedal (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,87.9
236,Nittedal (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,73.2
237,Nittedal (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,19.5
238,Gjerdrum (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,70.6
239,Gjerdrum (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,34.5
240,Gjerdrum (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,63.7
241,Gjerdrum (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,82.7
242,Gjerdrum (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,88.2
243,Gjerdrum (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,75.0
244,Gjerdrum (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,16.9
245,Ullensaker (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,69.3
246,Ullensaker (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,35.0
247,Ullensaker (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,73.2
248,Ullensaker (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,80.1
249,Ullensaker (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,83.2
250,Ullensaker (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,65.8
251,Ullensaker (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,17.6
252,Nes (Akershus) (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,67.5
253,Nes (Akershus) (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,29.6
254,Nes (Akershus) (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,67.5
255,Nes (Akershus) (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,82.1
256,Nes (Akershus) (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,82.5
257,Nes (Akershus) (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,67.3
258,Nes (Akershus) (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,19.6
259,Eidsvoll (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,66.4
260,Eidsvoll (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,35.0
261,Eidsvoll (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,67.8
262,Eidsvoll (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.4
263,Eidsvoll (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,81.1
264,Eidsvoll (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,63.5
265,Eidsvoll (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,15.5
266,Nannestad (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,70.9
267,Nannestad (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,33.1
268,Nannestad (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,75.4
269,Nannestad (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,83.5
270,Nannestad (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,84.0
271,Nannestad (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,66.7
272,Nannestad (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,19.8
273,Hurdal (-2019),Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,63.7
274,Hurdal (-2019),Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,36.1
275,Hurdal (-2019),Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,68.9
276,Hurdal (-2019),Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,78.0
277,Hurdal (-2019),Both sexes,40-54 years,Employed persons as per cent of population 15-74 years,2019,77.2
278,Hurdal (-2019),Both sexes,55-66 years,Employed persons as per cent of population 15-74 years,2019,63.2
279,Hurdal (-2019),Both sexes,67-74 years,Employed persons as per cent of population 15-74 years,2019,25.2
280,Oslo municipality,Both sexes,15-74 years,Employed persons as per cent of population 15-74 years,2019,69.4
281,Oslo municipality,Both sexes,15-19 years,Employed persons as per cent of population 15-74 years,2019,27.2
282,Oslo municipality,Both sexes,20-24 years,Employed persons as per cent of population 15-74 years,2019,65.3
283,Oslo municipality,Both sexes,25-39 years,Employed persons as per cent of population 15-74 years,2019,81.2
