,age_mean,age_std,pop
Bardu,39.2,23.1,3883
Salangen,42.9,23.3,2051
Målselv,40.9,23.6,6304
Sørreisa,41.2,23.2,3217
Dyrøy,46.8,23.3,1058
Balsfjord,43.4,23.8,5207
Karlsøy,47.1,23.7,2158
Lyngen,46.3,23.4,2489
Storfjord,45.4,23.0,1652
Kåfjord,43.9,24.3,1996
Skjervøy,41.3,24.1,2733
Nordreisa,41.8,23.5,4440
Kvænangen,45.2,23.8,1079
Vardø,44.9,22.5,2004
Vadsø,41.0,22.8,5592
Hammerfest,38.2,22.4,10434
Kautokeino,40.8,22.9,2350
Alta,36.7,22.1,19482
Loppa,48.5,23.5,861
Hasvik,39.9,23.4,1103
Måsøy,45.0,23.6,1227
Nordkapp,42.8,22.8,3022
Porsanger,44.4,23.3,3696
Karasjok,41.2,23.1,2378
Lebesby,43.5,23.3,1266
Gamvik,45.0,22.7,1095
Berlevåg,43.7,23.0,986
Tana,42.9,22.9,2758
Nesseby,44.3,23.9,876
Båtsfjord,39.3,22.3,2196
Sør-varanger,40.6,22.9,9885
Trondheim,38.3,22.1,208583
Namsos,40.6,23.7,12713
Hemne,42.1,24.2,8062
Frøya,38.7,23.1,4949
Ørland,39.8,23.3,5082
Åfjord,44.3,24.2,4984
Osen,42.2,23.9,10280
Oppdal,41.6,23.7,6602
Rennebu,45.0,24.1,2293
Røros,43.9,24.0,5310
Holtålen,43.1,23.8,1846
Midtre_Gauldal,41.3,24.0,5686
Melhus,38.9,23.5,15762
Skaun,36.6,23.1,7839
Malvik,36.5,22.3,13503
Selbu,42.1,24.6,3903
Tydal,47.5,23.7,688
Meråker,43.3,24.2,2333
Stjørdal,39.1,23.4,22940
Frosta,41.8,24.0,2466
Levanger,40.3,23.6,19592
Verdal,40.2,23.4,14205
Snåsa,42.5,24.5,1952
Lierne,46.1,24.0,1208
Røyrvik,42.0,24.2,451
Namsskogan,46.0,24.0,785
Grong,44.1,24.4,2164
Høylandet,42.0,24.2,1173
Overhalla,38.7,23.6,3588
Flatanger,44.1,23.5,1061
Nærøy,41.9,23.8,4721
Leka,48.3,24.6,531
Inderøy,41.3,24.1,6404
Indre_Fosen,42.6,24.1,9262
