Put 30587 people in Halden in 14683 households, 35 kindergartens, 9 primary schools, 4 lower secondary schools, 3 upper secondary schools, 885 workplaces, and 7 nursing homes.
Put 698637 people in Oslo in 341468 households, 718 kindergartens, 115 primary schools, 66 lower secondary schools, 56 upper secondary schools, 25539 workplaces, and 1082 nursing homes.
Put 17183 people in Kongsvinger in 8666 households, 11 kindergartens, 8 primary schools, 4 lower secondary schools, 3 upper secondary schools, 537 workplaces, and 2 nursing homes.
Put 32378 people in Hamar in 16020 households, 32 kindergartens, 15 primary schools, 9 lower secondary schools, 5 upper secondary schools, 1237 workplaces, and 0 nursing homes.
Put 33333 people in Ringsaker in 15297 households, 37 kindergartens, 15 primary schools, 5 lower secondary schools, 2 upper secondary schools, 946 workplaces, and 6 nursing homes.
Put 7243 people in Løten in 3399 households, 8 kindergartens, 5 primary schools, 2 lower secondary schools, 0 upper secondary schools, 148 workplaces, and 0 nursing homes.
Put 20180 people in Stange in 9337 households, 21 kindergartens, 10 primary schools, 4 lower secondary schools, 4 upper secondary schools, 411 workplaces, and 4 nursing homes.
Put 4820 people in Nord-odal in 2338 households, 3 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 88 workplaces, and 2 nursing homes.
Put 7678 people in Sør-odal in 3626 households, 8 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 193 workplaces, and 2 nursing homes.
Put 5846 people in Eidskog in 2971 households, 5 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 139 workplaces, and 3 nursing homes.
Put 4494 people in Grue in 2374 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 190 workplaces, and 0 nursing homes.
Put 6914 people in Åsnes in 3515 households, 8 kindergartens, 4 primary schools, 1 lower secondary schools, 3 upper secondary schools, 264 workplaces, and 0 nursing homes.
Put 21022 people in Elverum in 9969 households, 16 kindergartens, 8 primary schools, 2 lower secondary schools, 1 upper secondary schools, 664 workplaces, and 3 nursing homes.
Put 6229 people in Trysil in 3085 households, 11 kindergartens, 5 primary schools, 1 lower secondary schools, 1 upper secondary schools, 263 workplaces, and 0 nursing homes.
Put 4429 people in Åmot in 2259 households, 7 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 196 workplaces, and 2 nursing homes.
Put 2399 people in Stor-Elvdal in 1301 households, 3 kindergartens, 2 primary schools, 1 lower secondary schools, 2 upper secondary schools, 124 workplaces, and 0 nursing homes.
Put 1661 people in Rendalen in 896 households, 1 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 85 workplaces, and 0 nursing homes.
Put 1155 people in Engerdal in 581 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 58 workplaces, and 0 nursing homes.
Put 1304 people in Tolga in 628 households, 3 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 65 workplaces, and 0 nursing homes.
Put 5054 people in Tynset in 2402 households, 9 kindergartens, 4 primary schools, 2 lower secondary schools, 1 upper secondary schools, 237 workplaces, and 0 nursing homes.
Put 2194 people in Alvdal in 1026 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 111 workplaces, and 0 nursing homes.
Put 1426 people in Folldal in 731 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 95 workplaces, and 0 nursing homes.
Put 28686 people in Lillehammer in 14153 households, 28 kindergartens, 9 primary schools, 6 lower secondary schools, 4 upper secondary schools, 930 workplaces, and 6 nursing homes.
Put 30972 people in Gjøvik in 14857 households, 26 kindergartens, 13 primary schools, 7 lower secondary schools, 1 upper secondary schools, 1098 workplaces, and 7 nursing homes.
Put 2399 people in Dovre in 1207 households, 2 kindergartens, 2 primary schools, 1 lower secondary schools, 2 upper secondary schools, 129 workplaces, and 0 nursing homes.
Put 1691 people in Lesja in 859 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 73 workplaces, and 0 nursing homes.
Put 2053 people in Skjåk in 990 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 119 workplaces, and 0 nursing homes.
Put 2134 people in Lom in 1024 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 137 workplaces, and 0 nursing homes.
Put 3348 people in Vågå in 1593 households, 4 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 118 workplaces, and 1 nursing homes.
Put 5216 people in Nord-Fron in 2666 households, 7 kindergartens, 4 primary schools, 1 lower secondary schools, 1 upper secondary schools, 276 workplaces, and 0 nursing homes.
Put 28100 people in Sel in 13508 households, 34 kindergartens, 19 primary schools, 11 lower secondary schools, 6 upper secondary schools, 930 workplaces, and 0 nursing homes.
Put 2948 people in Sør-Fron in 1388 households, 3 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 140 workplaces, and 0 nursing homes.
Put 4242 people in Ringebu in 1986 households, 14 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 179 workplaces, and 3 nursing homes.
Put 4896 people in Øyer in 2282 households, 5 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 158 workplaces, and 0 nursing homes.
Put 5665 people in Gausdal in 2715 households, 7 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 159 workplaces, and 0 nursing homes.
Put 14488 people in Østre Toten in 6787 households, 12 kindergartens, 8 primary schools, 2 lower secondary schools, 2 upper secondary schools, 287 workplaces, and 0 nursing homes.
Put 13193 people in Vestre Toten in 6228 households, 12 kindergartens, 5 primary schools, 1 lower secondary schools, 1 upper secondary schools, 336 workplaces, and 5 nursing homes.
Put 6470 people in Jevnaker in 3030 households, 7 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 139 workplaces, and 0 nursing homes.
Put 8621 people in Lunner in 3896 households, 13 kindergartens, 3 primary schools, 2 lower secondary schools, 0 upper secondary schools, 174 workplaces, and 0 nursing homes.
Put 15200 people in Gran in 7132 households, 17 kindergartens, 9 primary schools, 4 lower secondary schools, 1 upper secondary schools, 464 workplaces, and 0 nursing homes.
Put 5475 people in Søndre Land in 2645 households, 8 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 193 workplaces, and 2 nursing homes.
Put 6163 people in Nordre Land in 3042 households, 6 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 195 workplaces, and 2 nursing homes.
Put 2727 people in Sør-Aurdal in 1368 households, 3 kindergartens, 3 primary schools, 2 lower secondary schools, 0 upper secondary schools, 76 workplaces, and 0 nursing homes.
Put 1179 people in Etnedal in 621 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 49 workplaces, and 0 nursing homes.
Put 6189 people in Nord-Aurdal in 3026 households, 6 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 384 workplaces, and 0 nursing homes.
Put 2026 people in Vestre Slidre in 988 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 108 workplaces, and 0 nursing homes.
Put 2955 people in Øystre Slidre in 1422 households, 4 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 131 workplaces, and 0 nursing homes.
Put 156101 people in Vang in 71860 households, 178 kindergartens, 62 primary schools, 39 lower secondary schools, 16 upper secondary schools, 5971 workplaces, and 0 nursing homes.
Put 66656 people in Drammen in 31552 households, 86 kindergartens, 25 primary schools, 13 lower secondary schools, 6 upper secondary schools, 2390 workplaces, and 6 nursing homes.
Put 26991 people in Kongsberg in 12728 households, 28 kindergartens, 10 primary schools, 6 lower secondary schools, 2 upper secondary schools, 957 workplaces, and 4 nursing homes.
Put 29514 people in Ringerike in 14425 households, 29 kindergartens, 12 primary schools, 10 lower secondary schools, 3 upper secondary schools, 956 workplaces, and 5 nursing homes.
Put 6442 people in Hole in 2820 households, 9 kindergartens, 4 primary schools, 2 lower secondary schools, 1 upper secondary schools, 152 workplaces, and 0 nursing homes.
Put 1030 people in Flå in 499 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 57 workplaces, and 0 nursing homes.
Put 4401 people in Gol in 2195 households, 5 kindergartens, 1 primary schools, 1 lower secondary schools, 2 upper secondary schools, 284 workplaces, and 0 nursing homes.
Put 2216 people in Hemsedal in 1095 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 115 workplaces, and 0 nursing homes.
Put 70356 people in Ål in 32823 households, 94 kindergartens, 50 primary schools, 29 lower secondary schools, 15 upper secondary schools, 2532 workplaces, and 0 nursing homes.
Put 26537 people in Hol in 12276 households, 40 kindergartens, 18 primary schools, 7 lower secondary schools, 4 upper secondary schools, 814 workplaces, and 0 nursing homes.
Put 3477 people in Sigdal in 1635 households, 4 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 129 workplaces, and 2 nursing homes.
Put 2075 people in Krødsherad in 981 households, 4 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 63 workplaces, and 0 nursing homes.
Put 13502 people in Modum in 6346 households, 15 kindergartens, 6 primary schools, 3 lower secondary schools, 2 upper secondary schools, 371 workplaces, and 5 nursing homes.
Put 18423 people in Øvre Eiker in 8183 households, 17 kindergartens, 6 primary schools, 3 lower secondary schools, 1 upper secondary schools, 485 workplaces, and 3 nursing homes.
Put 26392 people in Lier in 11392 households, 29 kindergartens, 12 primary schools, 6 lower secondary schools, 3 upper secondary schools, 1057 workplaces, and 0 nursing homes.
Put 2483 people in Flesberg in 1162 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 68 workplaces, and 0 nursing homes.
Put 1283 people in Rollag in 619 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 71 workplaces, and 0 nursing homes.
Put 2266 people in Nore og Uvdal in 1063 households, 4 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 115 workplaces, and 0 nursing homes.
Put 26776 people in Horten in 12864 households, 22 kindergartens, 8 primary schools, 3 lower secondary schools, 1 upper secondary schools, 661 workplaces, and 0 nursing homes.
Put 44357 people in Tønsberg in 21196 households, 53 kindergartens, 19 primary schools, 10 lower secondary schools, 8 upper secondary schools, 1899 workplaces, and 4 nursing homes.
Put 60390 people in Sandefjord in 27896 households, 61 kindergartens, 24 primary schools, 11 lower secondary schools, 6 upper secondary schools, 1970 workplaces, and 10 nursing homes.
Put 45822 people in Larvik in 21545 households, 46 kindergartens, 16 primary schools, 10 lower secondary schools, 1 upper secondary schools, 1414 workplaces, and 7 nursing homes.
Put 13885 people in Holmestrand in 6469 households, 22 kindergartens, 9 primary schools, 3 lower secondary schools, 2 upper secondary schools, 418 workplaces, and 0 nursing homes.
Put 316048 people in Re in 146158 households, 417 kindergartens, 152 primary schools, 78 lower secondary schools, 32 upper secondary schools, 7301 workplaces, and 0 nursing homes.
Put 25343 people in Færder in 11782 households, 20 kindergartens, 9 primary schools, 4 lower secondary schools, 1 upper secondary schools, 545 workplaces, and 3 nursing homes.
Put 35330 people in Porsgrunn in 16884 households, 32 kindergartens, 14 primary schools, 10 lower secondary schools, 1 upper secondary schools, 958 workplaces, and 4 nursing homes.
Put 52070 people in Skien in 24918 households, 51 kindergartens, 17 primary schools, 12 lower secondary schools, 5 upper secondary schools, 1484 workplaces, and 0 nursing homes.
Put 12723 people in Notodden in 5986 households, 16 kindergartens, 8 primary schools, 3 lower secondary schools, 1 upper secondary schools, 440 workplaces, and 6 nursing homes.
Put 2317 people in Siljan in 991 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 77 workplaces, and 0 nursing homes.
Put 13312 people in Bamble in 6076 households, 13 kindergartens, 5 primary schools, 5 lower secondary schools, 2 upper secondary schools, 373 workplaces, and 3 nursing homes.
Put 9818 people in Kragerø in 4951 households, 10 kindergartens, 5 primary schools, 2 lower secondary schools, 2 upper secondary schools, 364 workplaces, and 0 nursing homes.
Put 3807 people in Drangedal in 1837 households, 3 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 140 workplaces, and 0 nursing homes.
Put 6157 people in Nome in 2989 households, 6 kindergartens, 3 primary schools, 2 lower secondary schools, 2 upper secondary schools, 151 workplaces, and 2 nursing homes.
Put 5599 people in Tinn in 2785 households, 6 kindergartens, 4 primary schools, 3 lower secondary schools, 1 upper secondary schools, 200 workplaces, and 0 nursing homes.
Put 1409 people in Hjartdal in 665 households, 3 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 78 workplaces, and 0 nursing homes.
Put 2759 people in Seljord in 1315 households, 4 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 128 workplaces, and 0 nursing homes.
Put 2293 people in Kviteseid in 1117 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 118 workplaces, and 0 nursing homes.
Put 1395 people in Nissedal in 643 households, 5 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 77 workplaces, and 0 nursing homes.
Put 1197 people in Fyresdal in 588 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 55 workplaces, and 0 nursing homes.
Put 2047 people in Tokke in 1001 households, 4 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 62 workplaces, and 0 nursing homes.
Put 3488 people in Vinje in 1696 households, 4 kindergartens, 4 primary schools, 3 lower secondary schools, 0 upper secondary schools, 152 workplaces, and 2 nursing homes.
Put 6377 people in Risør in 3170 households, 8 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 293 workplaces, and 2 nursing homes.
Put 22873 people in Grimstad in 10430 households, 28 kindergartens, 8 primary schools, 4 lower secondary schools, 3 upper secondary schools, 692 workplaces, and 4 nursing homes.
Put 42950 people in Arendal in 20176 households, 58 kindergartens, 19 primary schools, 12 lower secondary schools, 3 upper secondary schools, 1316 workplaces, and 5 nursing homes.
Put 2288 people in Gjerstad in 1108 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 78 workplaces, and 0 nursing homes.
Put 1888 people in Vegårshei in 893 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 53 workplaces, and 0 nursing homes.
Put 5713 people in Tvedestrand in 2728 households, 11 kindergartens, 4 primary schools, 1 lower secondary schools, 3 upper secondary schools, 269 workplaces, and 0 nursing homes.
Put 5496 people in Froland in 2429 households, 7 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 142 workplaces, and 0 nursing homes.
Put 10062 people in Lillesand in 4512 households, 14 kindergartens, 5 primary schools, 2 lower secondary schools, 1 upper secondary schools, 378 workplaces, and 0 nursing homes.
Put 4748 people in Birkenes in 2107 households, 7 kindergartens, 3 primary schools, 2 lower secondary schools, 0 upper secondary schools, 180 workplaces, and 0 nursing homes.
Put 1758 people in Åmli in 806 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 87 workplaces, and 0 nursing homes.
Put 1246 people in Iveland in 545 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 43 workplaces, and 0 nursing homes.
Put 3360 people in Evje og Hornnes in 1546 households, 3 kindergartens, 2 primary schools, 1 lower secondary schools, 2 upper secondary schools, 149 workplaces, and 0 nursing homes.
Put 1105 people in Bygland in 540 households, 2 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 52 workplaces, and 0 nursing homes.
Put 1074 people in Valle in 531 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 73 workplaces, and 0 nursing homes.
Put 931 people in Bykle in 426 households, 2 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 38 workplaces, and 0 nursing homes.
Put 91490 people in Kristiansand in 42285 households, 119 kindergartens, 38 primary schools, 24 lower secondary schools, 8 upper secondary schools, 2933 workplaces, and 14 nursing homes.
Put 8861 people in Farsund in 4169 households, 9 kindergartens, 3 primary schools, 2 lower secondary schools, 2 upper secondary schools, 284 workplaces, and 0 nursing homes.
Put 8547 people in Flekkefjord in 3899 households, 10 kindergartens, 4 primary schools, 1 lower secondary schools, 1 upper secondary schools, 328 workplaces, and 2 nursing homes.
Put 13901 people in Vennesla in 6165 households, 16 kindergartens, 8 primary schools, 2 lower secondary schools, 3 upper secondary schools, 305 workplaces, and 2 nursing homes.
Put 829 people in Åseral in 378 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 70 workplaces, and 0 nursing homes.
Put 4637 people in Lindesnes in 2114 households, 29 kindergartens, 12 primary schools, 7 lower secondary schools, 1 upper secondary schools, 155 workplaces, and 0 nursing homes.
Put 7962 people in Lyngdal in 3498 households, 12 kindergartens, 7 primary schools, 3 lower secondary schools, 3 upper secondary schools, 327 workplaces, and 0 nursing homes.
Put 1538 people in Hægebostad in 675 households, 2 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 45 workplaces, and 0 nursing homes.
Put 5672 people in Kvinesdal in 2640 households, 8 kindergartens, 5 primary schools, 2 lower secondary schools, 1 upper secondary schools, 157 workplaces, and 2 nursing homes.
Put 1633 people in Sirdal in 764 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 78 workplaces, and 0 nursing homes.
Put 13880 people in Eigersund in 6284 households, 16 kindergartens, 8 primary schools, 5 lower secondary schools, 1 upper secondary schools, 444 workplaces, and 1 nursing homes.
Put 74098 people in Sandnes in 31638 households, 68 kindergartens, 26 primary schools, 15 lower secondary schools, 5 upper secondary schools, 2029 workplaces, and 4 nursing homes.
Put 130976 people in Stavanger in 60379 households, 134 kindergartens, 41 primary schools, 26 lower secondary schools, 14 upper secondary schools, 4662 workplaces, and 25 nursing homes.
Put 36463 people in Haugesund in 17431 households, 38 kindergartens, 12 primary schools, 9 lower secondary schools, 5 upper secondary schools, 1249 workplaces, and 7 nursing homes.
Put 3085 people in Sokndal in 1396 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 88 workplaces, and 1 nursing homes.
Put 3599 people in Lund in 1661 households, 4 kindergartens, 4 primary schools, 2 lower secondary schools, 0 upper secondary schools, 125 workplaces, and 0 nursing homes.
Put 2597 people in Bjerkreim in 1036 households, 3 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 87 workplaces, and 1 nursing homes.
Put 17682 people in Hå in 7383 households, 18 kindergartens, 5 primary schools, 5 lower secondary schools, 1 upper secondary schools, 451 workplaces, and 3 nursing homes.
Put 18127 people in Klepp in 7620 households, 20 kindergartens, 8 primary schools, 5 lower secondary schools, 2 upper secondary schools, 605 workplaces, and 2 nursing homes.
Put 17531 people in Time in 7662 households, 20 kindergartens, 7 primary schools, 4 lower secondary schools, 1 upper secondary schools, 438 workplaces, and 2 nursing homes.
Put 11231 people in Gjesdal in 4544 households, 11 kindergartens, 6 primary schools, 4 lower secondary schools, 0 upper secondary schools, 352 workplaces, and 1 nursing homes.
Put 25405 people in Sola in 10667 households, 30 kindergartens, 9 primary schools, 3 lower secondary schools, 1 upper secondary schools, 1102 workplaces, and 3 nursing homes.
Put 10340 people in Randaberg in 4331 households, 10 kindergartens, 3 primary schools, 3 lower secondary schools, 1 upper secondary schools, 225 workplaces, and 1 nursing homes.
Put 36949 people in Strand in 16844 households, 50 kindergartens, 20 primary schools, 11 lower secondary schools, 8 upper secondary schools, 1098 workplaces, and 0 nursing homes.
Put 2437 people in Hjelmeland in 1085 households, 4 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 127 workplaces, and 1 nursing homes.
Put 3550 people in Suldal in 1570 households, 8 kindergartens, 7 primary schools, 2 lower secondary schools, 1 upper secondary schools, 140 workplaces, and 1 nursing homes.
Put 4248 people in Sauda in 2025 households, 4 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 126 workplaces, and 2 nursing homes.
Put 503 people in Kvitsøy in 218 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 21 workplaces, and 1 nursing homes.
Put 784 people in Bokn in 349 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 33 workplaces, and 1 nursing homes.
Put 10171 people in Tysvær in 4228 households, 10 kindergartens, 7 primary schools, 3 lower secondary schools, 1 upper secondary schools, 270 workplaces, and 1 nursing homes.
Put 39568 people in Karmøy in 17396 households, 32 kindergartens, 19 primary schools, 7 lower secondary schools, 3 upper secondary schools, 971 workplaces, and 6 nursing homes.
Put 210 people in Utsira in 85 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 6 workplaces, and 1 nursing homes.
Put 8066 people in Vindafjord in 3540 households, 10 kindergartens, 9 primary schools, 3 lower secondary schools, 3 upper secondary schools, 291 workplaces, and 2 nursing homes.
Put 287384 people in Bergen in 137178 households, 259 kindergartens, 76 primary schools, 36 lower secondary schools, 28 upper secondary schools, 8857 workplaces, and 19 nursing homes.
Put 5049 people in Etne in 2315 households, 4 kindergartens, 3 primary schools, 3 lower secondary schools, 0 upper secondary schools, 186 workplaces, and 0 nursing homes.
Put 5367 people in Sveio in 2251 households, 8 kindergartens, 5 primary schools, 1 lower secondary schools, 0 upper secondary schools, 98 workplaces, and 1 nursing homes.
Put 10989 people in Bømlo in 4777 households, 8 kindergartens, 8 primary schools, 3 lower secondary schools, 2 upper secondary schools, 230 workplaces, and 0 nursing homes.
Put 18395 people in Stord in 8239 households, 20 kindergartens, 7 primary schools, 3 lower secondary schools, 1 upper secondary schools, 563 workplaces, and 0 nursing homes.
Put 2831 people in Fitjar in 1237 households, 5 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 71 workplaces, and 0 nursing homes.
Put 2638 people in Tysnes in 1266 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 108 workplaces, and 0 nursing homes.
Put 12211 people in Kvinnherad in 5589 households, 17 kindergartens, 13 primary schools, 4 lower secondary schools, 1 upper secondary schools, 386 workplaces, and 3 nursing homes.
Put 2888 people in Ullensvang in 1395 households, 13 kindergartens, 9 primary schools, 5 lower secondary schools, 1 upper secondary schools, 97 workplaces, and 0 nursing homes.
Put 885 people in Eidfjord in 416 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 48 workplaces, and 0 nursing homes.
Put 938 people in Ulvik in 452 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 42 workplaces, and 0 nursing homes.
Put 13282 people in Voss in 6219 households, 18 kindergartens, 10 primary schools, 3 lower secondary schools, 2 upper secondary schools, 480 workplaces, and 0 nursing homes.
Put 7812 people in Kvam in 3487 households, 6 kindergartens, 6 primary schools, 3 lower secondary schools, 2 upper secondary schools, 288 workplaces, and 4 nursing homes.
Put 2293 people in Samnanger in 1030 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 48 workplaces, and 0 nursing homes.
Put 4698 people in Austevoll in 1984 households, 6 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 130 workplaces, and 0 nursing homes.
Put 139754 people in Sund in 65710 households, 168 kindergartens, 74 primary schools, 44 lower secondary schools, 22 upper secondary schools, 4651 workplaces, and 0 nursing homes.
